chrom:genomepos	wtdmso	mtdmso
chr10:104032023-mod	10	11
chr10:104032023-unmod	57	40
chr10:104032084-mod	7	3
chr10:104032084-unmod	57	43
chr10:104032126-mod	6	5
chr10:104032126-unmod	52	34
chr10:104032207-mod	12	1
chr10:104032207-unmod	71	45
chr10:104032218-mod	6	2
chr10:104032218-unmod	72	43
chr10:104032698-mod	12	6
chr10:104032698-unmod	77	31
chr10:104032912-mod	18	12
chr10:104032912-unmod	70	26
chr10:104032948-mod	3	4
chr10:104032948-unmod	76	32
chr10:104033237-mod	3	1
chr10:104033237-unmod	79	31
chr10:104033257-mod	8	2
chr10:104033257-unmod	65	28
chr10:104033264-mod	6	3
chr10:104033264-unmod	71	27
chr10:104034003-mod	6	2
chr10:104034003-unmod	68	26
chr10:104034017-mod	13	6
chr10:104034017-unmod	55	21
chr10:104034267-mod	10	6
chr10:104034267-unmod	44	17
chr10:104034278-mod	7	2
chr10:104034278-unmod	51	22
chr10:104034732-mod	7	5
chr10:104034732-unmod	46	16
chr10:104035282-mod	9	4
chr10:104035282-unmod	44	20
chr10:104036532-mod	2	2
chr10:104036532-unmod	45	17
chr10:104037635-mod	2	3
chr10:104037635-unmod	38	17
chr10:104037708-mod	7	2
chr10:104037708-unmod	35	15
chr10:104037769-mod	4	1
chr10:104037769-unmod	39	15
chr10:104039460-mod	4	2
chr10:104039460-unmod	33	14
chr10:104039487-mod	1	1
chr10:104039487-unmod	37	14
chr10:104039502-mod	5	3
chr10:104039502-unmod	27	9
chr10:104039979-mod	2	1
chr10:104039979-unmod	33	15
chr10:104041318-mod	2	2
chr10:104041318-unmod	29	11
chr10:104042426-mod	2	1
chr10:104042426-unmod	27	10
chr10:104043525-mod	1	1
chr10:104043525-unmod	30	14
chr10:104043830-mod	2	1
chr10:104043830-unmod	30	13
chr10:104043855-mod	3	3
chr10:104043855-unmod	28	10
chr10:104045791-mod	2	1
chr10:104045791-unmod	28	11
chr10:104046762-mod	1	2
chr10:104046762-unmod	27	11
chr10:104047763-mod	3	3
chr10:104047763-unmod	26	8
chr10:104050104-mod	1	2
chr10:104050104-unmod	24	8
chr10:104050627-mod	1	2
chr10:104050627-unmod	21	8
chr10:104050645-mod	1	1
chr10:104050645-unmod	11	9
chr10:104259748-mod	3	3
chr10:104259748-unmod	65	49
chr10:104266089-mod	17	22
chr10:104266089-unmod	57	33
chr10:104267278-mod	8	3
chr10:104267278-unmod	60	45
chr10:104267340-mod	9	7
chr10:104267340-unmod	63	44
chr10:104267373-mod	3	2
chr10:104267373-unmod	66	48
chr10:104267391-mod	9	6
chr10:104267391-unmod	52	28
chr10:11870608-mod	3	6
chr10:11870608-unmod	9	6
chr10:119500056-mod	4	1
chr10:119500056-unmod	8	9
chr10:119500186-mod	4	1
chr10:119500186-unmod	8	9
chr10:122488937-mod	1	4
chr10:122488937-unmod	54	61
chr10:122489487-mod	12	17
chr10:122489487-unmod	38	37
chr10:122489497-mod	3	2
chr10:122489497-unmod	57	64
chr10:122489515-mod	1	1
chr10:122489515-unmod	60	57
chr10:122489618-mod	5	5
chr10:122489618-unmod	58	57
chr10:122506856-mod	2	1
chr10:122506856-unmod	58	58
chr10:122506867-mod	1	3
chr10:122506867-unmod	65	61
chr10:122507376-mod	4	5
chr10:122507376-unmod	63	58
chr10:122508755-mod	4	1
chr10:122508755-unmod	61	62
chr10:122511989-mod	15	15
chr10:122511989-unmod	47	47
chr10:122512001-mod	3	1
chr10:122512001-unmod	24	26
chr10:122514232-mod	14	19
chr10:122514232-unmod	21	22
chr10:122514291-mod	13	10
chr10:122514291-unmod	73	87
chr10:122514376-mod	27	38
chr10:122514376-unmod	50	49
chr10:122514396-mod	41	39
chr10:122514396-unmod	45	46
chr10:122514421-mod	53	56
chr10:122514421-unmod	39	42
chr10:122514442-mod	19	34
chr10:122514442-unmod	69	60
chr10:122514451-mod	22	13
chr10:122514451-unmod	72	84
chr10:122514458-mod	19	19
chr10:122514458-unmod	70	73
chr10:122514484-mod	6	8
chr10:122514484-unmod	83	83
chr10:122514627-mod	32	46
chr10:122514627-unmod	27	34
chr10:122514653-mod	11	16
chr10:122514653-unmod	81	80
chr10:122514732-mod	49	55
chr10:122514732-unmod	36	37
chr10:122514787-mod	11	9
chr10:122514787-unmod	82	89
chr10:122514868-mod	9	17
chr10:122514868-unmod	80	78
chr10:17229515-mod	11	5
chr10:17229515-unmod	106	104
chr10:17229666-mod	19	27
chr10:17229666-unmod	103	101
chr10:17229675-mod	17	21
chr10:17229675-unmod	99	103
chr10:17229714-mod	6	6
chr10:17229714-unmod	98	96
chr10:17229756-mod	3	2
chr10:17229756-unmod	111	113
chr10:17229864-mod	12	14
chr10:17229864-unmod	138	122
chr10:17229906-mod	6	2
chr10:17229906-unmod	128	121
chr10:17229963-mod	4	4
chr10:17229963-unmod	153	141
chr10:17233593-mod	2	4
chr10:17233593-unmod	162	147
chr10:17233617-mod	2	8
chr10:17233617-unmod	175	151
chr10:17233669-mod	5	2
chr10:17233669-unmod	148	136
chr10:17233801-mod	24	31
chr10:17233801-unmod	182	144
chr10:17233839-mod	18	21
chr10:17233839-unmod	169	143
chr10:17233896-mod	11	9
chr10:17233896-unmod	198	169
chr10:17234699-mod	26	18
chr10:17234699-unmod	169	141
chr10:17234723-mod	5	2
chr10:17234723-unmod	235	203
chr10:17234815-mod	16	17
chr10:17234815-unmod	247	187
chr10:17235208-mod	14	20
chr10:17235208-unmod	245	182
chr10:17235229-mod	3	4
chr10:17235229-unmod	262	196
chr10:17235238-mod	6	1
chr10:17235238-unmod	242	196
chr10:17235340-mod	1	2
chr10:17235340-unmod	273	217
chr10:17235865-mod	5	4
chr10:17235865-unmod	256	212
chr10:17235880-mod	23	19
chr10:17235880-unmod	225	183
chr10:17236340-mod	13	15
chr10:17236340-unmod	274	202
chr10:17236364-mod	23	21
chr10:17236364-unmod	264	202
chr10:17236375-mod	6	5
chr10:17236375-unmod	216	172
chr10:17237241-mod	3	3
chr10:17237241-unmod	274	222
chr10:17237260-mod	8	4
chr10:17237260-unmod	270	204
chr10:17237524-mod	21	17
chr10:17237524-unmod	276	209
chr10:3105491-mod	2	1
chr10:3105491-unmod	11	19
chr10:3107214-mod	1	1
chr10:3107214-unmod	12	18
chr10:3108766-mod	1	1
chr10:3108766-unmod	14	19
chr10:3109439-mod	2	1
chr10:3109439-unmod	13	23
chr10:3112221-mod	1	1
chr10:3112221-unmod	15	20
chr10:3113138-mod	2	4
chr10:3113138-unmod	22	19
chr10:3119902-mod	1	1
chr10:3119902-unmod	30	24
chr10:3120030-mod	3	5
chr10:3120030-unmod	23	19
chr10:3129851-mod	2	3
chr10:3129851-unmod	31	23
chr10:3133222-mod	3	1
chr10:3133222-unmod	33	25
chr10:3136538-mod	2	2
chr10:3136538-unmod	31	18
chr10:3136554-mod	4	7
chr10:3136554-unmod	36	33
chr10:3136615-mod	13	15
chr10:3136615-unmod	27	12
chr10:32900620-mod	38	21
chr10:32900620-unmod	52	28
chr10:32900679-mod	6	1
chr10:32900679-unmod	82	48
chr10:32900870-mod	10	9
chr10:32900870-unmod	69	38
chr10:32900914-mod	5	2
chr10:32900914-unmod	72	39
chr10:32901079-mod	5	7
chr10:32901079-unmod	61	29
chr10:32901200-mod	4	3
chr10:32901200-unmod	65	39
chr10:32901307-mod	12	10
chr10:32901307-unmod	43	28
chr10:32901375-mod	11	5
chr10:32901375-unmod	54	36
chr10:32901386-mod	25	10
chr10:32901386-unmod	35	24
chr10:32908371-mod	1	2
chr10:32908371-unmod	45	30
chr10:32911566-mod	2	3
chr10:32911566-unmod	32	19
chr10:32911606-mod	14	8
chr10:32911606-unmod	22	17
chr10:32911991-mod	4	2
chr10:32911991-unmod	19	17
chr10:4963438-mod	3	2
chr10:4963438-unmod	19	45
chr10:4966014-mod	5	8
chr10:4966014-unmod	18	43
chr10:4967008-mod	2	1
chr10:4967008-unmod	21	55
chr10:4972232-mod	1	2
chr10:4972232-unmod	34	49
chr10:4972304-mod	1	5
chr10:4972304-unmod	43	57
chr10:4972594-mod	9	4
chr10:4972594-unmod	38	62
chr10:4972653-mod	10	20
chr10:4972653-unmod	34	42
chr10:4972736-mod	5	1
chr10:4972736-unmod	36	56
chr10:4975868-mod	4	3
chr10:4975868-unmod	45	65
chr10:4975922-mod	1	4
chr10:4975922-unmod	50	66
chr10:4977793-mod	4	4
chr10:4977793-unmod	45	60
chr10:4977819-mod	9	9
chr10:4977819-unmod	39	53
chr10:4977824-mod	4	3
chr10:4977824-unmod	36	40
chr10:4977903-mod	1	1
chr10:4977903-unmod	45	55
chr10:4989943-mod	1	1
chr10:4989943-unmod	14	21
chr10:4995472-mod	1	2
chr10:4995472-unmod	12	16
chr10:5765303-mod	2	1
chr10:5765303-unmod	21	29
chr10:5765384-mod	9	10
chr10:5765384-unmod	15	22
chr10:5765564-mod	2	1
chr10:5765564-unmod	21	21
chr10:5765784-mod	1	3
chr10:5765784-unmod	9	20
chr10:5766054-mod	2	1
chr10:5766054-unmod	8	24
chr10:5766498-mod	1	10
chr10:5766498-unmod	9	12
chr10:69392255-mod	2	5
chr10:69392255-unmod	9	14
chr10:69398662-mod	1	1
chr10:69398662-unmod	20	20
chr10:69398768-mod	3	3
chr10:69398768-unmod	23	16
chr10:69398787-mod	3	5
chr10:69398787-unmod	23	17
chr10:69398805-mod	2	1
chr10:69398805-unmod	20	30
chr10:69401023-mod	7	4
chr10:69401023-unmod	17	26
chr10:69401692-mod	3	2
chr10:69401692-unmod	30	42
chr10:69401712-mod	5	7
chr10:69401712-unmod	30	38
chr10:69401855-mod	7	3
chr10:69401855-unmod	24	34
chr10:70203024-mod	5	2
chr10:70203024-unmod	28	17
chr10:70203054-mod	11	5
chr10:70203054-unmod	21	15
chr10:70203158-mod	2	1
chr10:70203158-unmod	28	20
chr10:70209235-mod	2	1
chr10:70209235-unmod	22	14
chr10:70209288-mod	3	4
chr10:70209288-unmod	21	11
chr10:70209633-mod	3	1
chr10:70209633-unmod	18	14
chr10:70214556-mod	1	1
chr10:70214556-unmod	19	13
chr10:71816360-mod	38	24
chr10:71816360-unmod	130	91
chr10:71816382-mod	4	3
chr10:71816382-unmod	189	135
chr10:71816403-mod	3	4
chr10:71816403-unmod	198	136
chr10:71816574-mod	10	4
chr10:71816574-unmod	244	190
chr10:71816679-mod	4	7
chr10:71816679-unmod	223	169
chr10:71816859-mod	4	3
chr10:71816859-unmod	218	186
chr10:71816973-mod	3	2
chr10:71816973-unmod	206	168
chr10:71816986-mod	38	45
chr10:71816986-unmod	177	128
chr10:71817018-mod	27	39
chr10:71817018-unmod	201	140
chr10:71817078-mod	7	5
chr10:71817078-unmod	198	160
chr10:71817125-mod	8	9
chr10:71817125-unmod	196	159
chr10:71817351-mod	6	9
chr10:71817351-unmod	200	155
chr10:71817444-mod	30	25
chr10:71817444-unmod	153	121
chr10:71818633-mod	2	1
chr10:71818633-unmod	85	74
chr10:71818641-mod	23	30
chr10:71818641-unmod	155	124
chr10:71818681-mod	25	27
chr10:71818681-unmod	153	122
chr10:71819480-mod	6	3
chr10:71819480-unmod	145	121
chr10:71819613-mod	14	15
chr10:71819613-unmod	127	104
chr10:71819716-mod	14	9
chr10:71819716-unmod	111	87
chr10:71820244-mod	5	3
chr10:71820244-unmod	105	98
chr10:71820255-mod	5	6
chr10:71820255-unmod	114	82
chr10:71820268-mod	12	8
chr10:71820268-unmod	114	97
chr10:71821893-mod	37	35
chr10:71821893-unmod	88	72
chr10:71821943-mod	1	1
chr10:71821943-unmod	108	90
chr10:71825885-mod	11	9
chr10:71825885-unmod	96	85
chr10:71828041-mod	5	7
chr10:71828041-unmod	105	88
chr10:71828061-mod	3	7
chr10:71828061-unmod	105	81
chr10:71828093-mod	2	1
chr10:71828093-unmod	72	62
chr10:71828113-mod	2	2
chr10:71828113-unmod	87	72
chr10:71828117-mod	29	30
chr10:71828117-unmod	76	66
chr10:71828134-mod	18	20
chr10:71828134-unmod	88	78
chr10:71828959-mod	17	15
chr10:71828959-unmod	75	70
chr10:71831168-mod	7	5
chr10:71831168-unmod	86	85
chr10:71831198-mod	29	19
chr10:71831198-unmod	61	70
chr10:71831216-mod	30	39
chr10:71831216-unmod	55	37
chr10:71834384-mod	4	3
chr10:71834384-unmod	80	65
chr10:71834482-mod	18	12
chr10:71834482-unmod	63	59
chr10:72273954-mod	13	7
chr10:72273954-unmod	67	63
chr10:72274232-mod	12	8
chr10:72274232-unmod	71	60
chr10:72274282-mod	27	28
chr10:72274282-unmod	54	41
chr10:72274346-mod	1	1
chr10:72274346-unmod	79	69
chr10:72274373-mod	7	9
chr10:72274373-unmod	89	72
chr10:72274388-mod	4	4
chr10:72274388-unmod	91	71
chr10:72274745-mod	2	4
chr10:72274745-unmod	107	82
chr10:72274758-mod	25	28
chr10:72274758-unmod	84	65
chr10:72274878-mod	17	15
chr10:72274878-unmod	94	82
chr10:72275014-mod	4	3
chr10:72275014-unmod	107	91
chr10:72275033-mod	61	53
chr10:72275033-unmod	27	19
chr10:72275163-mod	9	9
chr10:72275163-unmod	101	82
chr10:72275188-mod	48	31
chr10:72275188-unmod	74	79
chr10:72275223-mod	10	10
chr10:72275223-unmod	96	89
chr10:72275237-mod	67	60
chr10:72275237-unmod	49	52
chr10:72275252-mod	3	4
chr10:72275252-unmod	111	112
chr10:72275273-mod	95	85
chr10:72275273-unmod	30	30
chr10:72275294-mod	7	10
chr10:72275294-unmod	100	85
chr10:72275381-mod	10	12
chr10:72275381-unmod	96	77
chr10:72275483-mod	7	6
chr10:72275483-unmod	91	84
chr10:72275501-mod	2	2
chr10:72275501-unmod	108	101
chr10:72275642-mod	1	1
chr10:72275642-unmod	111	103
chr10:72275701-mod	10	8
chr10:72275701-unmod	84	91
chr10:72275884-mod	1	6
chr10:72275884-unmod	116	106
chr10:72275926-mod	56	57
chr10:72275926-unmod	57	52
chr10:72275988-mod	1	1
chr10:72275988-unmod	92	95
chr10:72276019-mod	1	1
chr10:72276019-unmod	76	83
chr10:73916789-mod	3	2
chr10:73916789-unmod	7	8
chr10:73917181-mod	6	3
chr10:73917181-unmod	5	7
chr10:73917256-mod	3	4
chr10:73917256-unmod	9	6
chr10:75210928-mod	6	6
chr10:75210928-unmod	58	44
chr10:75212256-mod	1	1
chr10:75212256-unmod	68	51
chr10:75214036-mod	1	4
chr10:75214036-unmod	83	57
chr10:75214049-mod	1	1
chr10:75214049-unmod	82	62
chr10:75219113-mod	1	3
chr10:75219113-unmod	72	60
chr10:75219152-mod	9	6
chr10:75219152-unmod	72	57
chr10:75219171-mod	6	3
chr10:75219171-unmod	70	56
chr10:75219191-mod	2	2
chr10:75219191-unmod	70	54
chr10:75219320-mod	4	8
chr10:75219320-unmod	84	60
chr10:75220807-mod	4	4
chr10:75220807-unmod	83	65
chr10:75220941-mod	27	22
chr10:75220941-unmod	68	57
chr10:75220948-mod	11	13
chr10:75220948-unmod	80	57
chr10:75222261-mod	16	8
chr10:75222261-unmod	54	47
chr10:75222330-mod	3	3
chr10:75222330-unmod	89	70
chr10:75229688-mod	2	5
chr10:75229688-unmod	97	77
chr10:75231054-mod	12	12
chr10:75231054-unmod	66	52
chr10:75231135-mod	2	3
chr10:75231135-unmod	90	66
chr10:75231224-mod	11	15
chr10:75231224-unmod	107	77
chr10:75231271-mod	7	4
chr10:75231271-unmod	43	22
chr10:78035363-mod	1	1
chr10:78035363-unmod	282	256
chr10:78035387-mod	7	6
chr10:78035387-unmod	237	215
chr10:78035569-mod	6	3
chr10:78035569-unmod	274	259
chr10:78035624-mod	83	73
chr10:78035624-unmod	211	188
chr10:78035698-mod	78	71
chr10:78035698-unmod	209	189
chr10:78035704-mod	7	8
chr10:78035704-unmod	288	260
chr10:78035710-mod	58	53
chr10:78035710-unmod	220	206
chr10:78037248-mod	1	1
chr10:78037248-unmod	255	232
chr10:78037271-mod	30	29
chr10:78037271-unmod	283	252
chr10:78040674-mod	39	48
chr10:78040674-unmod	233	198
chr10:80155669-mod	6	4
chr10:80155669-unmod	11	9
chr10:80155686-mod	5	6
chr10:80155686-unmod	10	6
chr10:80155851-mod	3	2
chr10:80155851-unmod	15	9
chr10:80155856-mod	3	2
chr10:80155856-unmod	10	10
chr10:80157746-mod	4	3
chr10:80157746-unmod	12	9
chr10:84142696-mod	2	2
chr10:84142696-unmod	33	20
chr10:84144070-mod	6	7
chr10:84144070-unmod	24	17
chr10:84144990-mod	11	10
chr10:84144990-unmod	27	14
chr10:84148741-mod	1	2
chr10:84148741-unmod	35	23
chr10:84150189-mod	15	8
chr10:84150189-unmod	21	20
chr10:84152352-mod	3	1
chr10:84152352-unmod	36	29
chr10:84152819-mod	5	5
chr10:84152819-unmod	17	7
chr10:86968566-mod	3	1
chr10:86968566-unmod	9	11
chr10:86968589-mod	1	1
chr10:86968589-unmod	12	11
chr10:95237612-mod	3	7
chr10:95237612-unmod	70	90
chr10:95237636-mod	2	14
chr10:95237636-unmod	78	107
chr10:95237727-mod	9	7
chr10:95237727-unmod	82	121
chr10:95237771-mod	10	12
chr10:95237771-unmod	80	112
chr10:95237910-mod	3	8
chr10:95237910-unmod	72	108
chr10:95238051-mod	15	29
chr10:95238051-unmod	69	96
chr10:95238087-mod	9	11
chr10:95238087-unmod	65	93
chr10:95238588-mod	2	4
chr10:95238588-unmod	86	119
chr10:95263872-mod	18	24
chr10:95263872-unmod	35	58
chr10:95263897-mod	2	1
chr10:95263897-unmod	44	90
chr10:95268783-mod	5	5
chr10:95268783-unmod	51	96
chr10:95268855-mod	8	12
chr10:95268855-unmod	51	93
chr10:95271648-mod	8	7
chr10:95271648-unmod	50	90
chr10:95271677-mod	4	3
chr10:95271677-unmod	44	87
chr10:95271696-mod	8	9
chr10:95271696-unmod	45	84
chr10:95290847-mod	4	7
chr10:95290847-unmod	52	89
chr10:95290911-mod	4	4
chr10:95290911-unmod	47	80
chr10:96521448-mod	1	3
chr10:96521448-unmod	12	8
chr10:96522242-mod	2	5
chr10:96522242-unmod	8	5
chr10:97426356-mod	10	8
chr10:97426356-unmod	44	45
chr10:97426365-mod	8	7
chr10:97426365-unmod	55	55
chr10:97430396-mod	1	1
chr10:97430396-unmod	72	63
chr10:97430434-mod	1	1
chr10:97430434-unmod	68	65
chr10:97430443-mod	5	9
chr10:97430443-unmod	63	50
chr10:97430488-mod	11	12
chr10:97430488-unmod	61	54
chr10:97432384-mod	38	30
chr10:97432384-unmod	36	35
chr10:97432420-mod	4	3
chr10:97432420-unmod	58	56
chr10:97432426-mod	12	7
chr10:97432426-unmod	74	69
chr10:97432610-mod	7	10
chr10:97432610-unmod	68	53
chr10:97432623-mod	1	2
chr10:97432623-unmod	77	80
chr10:97432651-mod	6	8
chr10:97432651-unmod	75	62
chr10:97432799-mod	15	17
chr10:97432799-unmod	82	80
chr10:97432833-mod	44	47
chr10:97432833-unmod	47	45
chr10:97432846-mod	3	3
chr10:97432846-unmod	103	94
chr10:97432862-mod	4	6
chr10:97432862-unmod	85	84
chr10:97433003-mod	4	7
chr10:97433003-unmod	83	72
chr10:97433021-mod	5	3
chr10:97433021-unmod	86	87
chr10:97433217-mod	2	2
chr10:97433217-unmod	85	73
chr10:97433352-mod	1	3
chr10:97433352-unmod	97	82
chr10:97433388-mod	14	9
chr10:97433388-unmod	90	89
chr11:10797237-mod	1	1
chr11:10797237-unmod	28	28
chr11:10797381-mod	5	4
chr11:10797381-unmod	27	27
chr11:10797484-mod	4	1
chr11:10797484-unmod	23	22
chr11:10797528-mod	1	7
chr11:10797528-unmod	28	14
chr11:10797763-mod	1	3
chr11:10797763-unmod	20	18
chr11:10797811-mod	4	2
chr11:10797811-unmod	17	18
chr11:118401647-mod	3	2
chr11:118401647-unmod	50	43
chr11:118401662-mod	2	1
chr11:118401662-unmod	62	54
chr11:118406944-mod	2	3
chr11:118406944-unmod	63	52
chr11:118409151-mod	3	2
chr11:118409151-unmod	59	50
chr11:118409166-mod	3	1
chr11:118409166-unmod	45	27
chr11:119015726-mod	3	4
chr11:119015726-unmod	272	287
chr11:119015928-mod	9	5
chr11:119015928-unmod	377	406
chr11:119015937-mod	17	13
chr11:119015937-unmod	348	380
chr11:119017446-mod	4	1
chr11:119017446-unmod	381	404
chr11:119017473-mod	3	3
chr11:119017473-unmod	374	398
chr11:119017492-mod	1	6
chr11:119017492-unmod	365	370
chr11:119017507-mod	109	94
chr11:119017507-unmod	292	324
chr11:119017519-mod	9	6
chr11:119017519-unmod	352	385
chr11:119017985-mod	22	25
chr11:119017985-unmod	369	390
chr11:119017994-mod	10	11
chr11:119017994-unmod	374	397
chr11:119018000-mod	1	1
chr11:119018000-unmod	363	392
chr11:120111553-mod	1	2
chr11:120111553-unmod	11	22
chr11:120111739-mod	1	9
chr11:120111739-unmod	11	17
chr11:120111968-mod	4	2
chr11:120111968-unmod	8	9
chr11:120112201-mod	1	1
chr11:120112201-unmod	10	10
chr11:120118275-mod	3	6
chr11:120118275-unmod	8	15
chr11:123057512-mod	1	1
chr11:123057512-unmod	57	31
chr11:123057592-mod	10	10
chr11:123057592-unmod	54	26
chr11:123057680-mod	11	10
chr11:123057680-unmod	34	15
chr11:123057895-mod	26	10
chr11:123057895-unmod	55	28
chr11:123057918-mod	2	1
chr11:123057918-unmod	60	28
chr11:123058405-mod	3	3
chr11:123058405-unmod	48	17
chr11:123058636-mod	5	1
chr11:123058636-unmod	43	25
chr11:123058773-mod	16	8
chr11:123058773-unmod	40	13
chr11:123059083-mod	1	1
chr11:123059083-unmod	36	14
chr11:123059150-mod	6	2
chr11:123059150-unmod	36	13
chr11:123059168-mod	4	1
chr11:123059168-unmod	38	17
chr11:123059518-mod	11	4
chr11:123059518-unmod	41	14
chr11:123059612-mod	1	1
chr11:123059612-unmod	36	13
chr11:123059648-mod	1	2
chr11:123059648-unmod	38	12
chr11:123059669-mod	1	2
chr11:123059669-unmod	39	13
chr11:123059680-mod	19	7
chr11:123059680-unmod	23	9
chr11:130129171-mod	3	1
chr11:130129171-unmod	12	12
chr11:130133634-mod	2	3
chr11:130133634-unmod	13	11
chr11:130135621-mod	2	1
chr11:130135621-unmod	16	17
chr11:130140425-mod	3	2
chr11:130140425-unmod	14	19
chr11:130141509-mod	5	2
chr11:130141509-unmod	14	20
chr11:130143383-mod	8	4
chr11:130143383-unmod	25	18
chr11:130143395-mod	2	2
chr11:130143395-unmod	32	22
chr11:130143561-mod	5	4
chr11:130143561-unmod	25	15
chr11:130143570-mod	19	12
chr11:130143570-unmod	19	12
chr11:130143578-mod	16	12
chr11:130143578-unmod	18	12
chr11:130143601-mod	15	9
chr11:130143601-unmod	21	13
chr11:130143754-mod	7	3
chr11:130143754-unmod	26	15
chr11:130143805-mod	2	2
chr11:130143805-unmod	36	23
chr11:130143957-mod	16	5
chr11:130143957-unmod	35	16
chr11:130144010-mod	4	1
chr11:130144010-unmod	48	25
chr11:130144480-mod	3	1
chr11:130144480-unmod	50	28
chr11:130144493-mod	4	3
chr11:130144493-unmod	43	21
chr11:130144512-mod	6	2
chr11:130144512-unmod	52	26
chr11:130144649-mod	15	4
chr11:130144649-unmod	37	22
chr11:17074394-mod	7	10
chr11:17074394-unmod	131	131
chr11:17075127-mod	4	2
chr11:17075127-unmod	406	393
chr11:17075537-mod	6	3
chr11:17075537-unmod	363	354
chr11:17075575-mod	106	115
chr11:17075575-unmod	290	278
chr11:17077201-mod	1	2
chr11:17077201-unmod	391	387
chr11:17077233-mod	6	8
chr11:17077233-unmod	307	297
chr11:1752790-mod	2	2
chr11:1752790-unmod	89	102
chr11:1752832-mod	10	9
chr11:1752832-unmod	82	105
chr11:1752913-mod	25	33
chr11:1752913-unmod	76	87
chr11:1752953-mod	13	6
chr11:1752953-unmod	91	113
chr11:1753542-mod	4	8
chr11:1753542-unmod	60	81
chr11:1753620-mod	4	3
chr11:1753620-unmod	67	86
chr11:1753815-mod	1	1
chr11:1753815-unmod	74	109
chr11:1754081-mod	3	2
chr11:1754081-unmod	61	85
chr11:1754115-mod	2	4
chr11:1754115-unmod	68	90
chr11:1755025-mod	1	3
chr11:1755025-unmod	43	64
chr11:1757347-mod	3	9
chr11:1757347-unmod	54	77
chr11:1758978-mod	2	10
chr11:1758978-unmod	42	52
chr11:1759534-mod	2	3
chr11:1759534-unmod	48	61
chr11:1761318-mod	3	2
chr11:1761318-unmod	47	62
chr11:1761349-mod	1	2
chr11:1761349-unmod	38	52
chr11:1761402-mod	4	8
chr11:1761402-unmod	47	51
chr11:1761433-mod	1	2
chr11:1761433-unmod	36	51
chr11:18269278-mod	11	2
chr11:18269278-unmod	28	19
chr11:18269763-mod	5	1
chr11:18269763-unmod	33	10
chr11:18396889-mod	5	6
chr11:18396889-unmod	50	45
