chrom:genomepos	wtdmso	wtcsc
chr10:100526522-mod	5	5
chr10:100526522-unmod	22	18
chr10:100526977-mod	4	3
chr10:100526977-unmod	22	20
chr10:100526987-mod	8	8
chr10:100526987-unmod	18	14
chr10:100529402-mod	5	6
chr10:100529402-unmod	21	16
chr10:100529461-mod	2	3
chr10:100529461-unmod	23	20
chr10:100529494-mod	1	2
chr10:100529494-unmod	24	19
chr10:100529769-mod	1	2
chr10:100529769-unmod	20	14
chr10:100986301-mod	1	1
chr10:100986301-unmod	9	13
chr10:100986492-mod	4	2
chr10:100986492-unmod	8	11
chr10:100986541-mod	1	4
chr10:100986541-unmod	11	8
chr10:100986550-mod	2	2
chr10:100986550-unmod	10	10
chr10:100986697-mod	6	12
chr10:100986697-unmod	4	1
chr10:102658024-mod	5	3
chr10:102658024-unmod	5	11
chr10:103389058-mod	5	4
chr10:103389058-unmod	8	11
chr10:103392371-mod	19	24
chr10:103392371-unmod	22	41
chr10:103396438-mod	1	5
chr10:103396438-unmod	15	36
chr10:104031404-mod	12	21
chr10:104031404-unmod	76	74
chr10:104031464-mod	8	9
chr10:104031464-unmod	64	70
chr10:104031516-mod	11	11
chr10:104031516-unmod	60	76
chr10:104031558-mod	25	27
chr10:104031558-unmod	50	58
chr10:104031722-mod	2	17
chr10:104031722-unmod	75	82
chr10:104031824-mod	9	17
chr10:104031824-unmod	60	74
chr10:104031963-mod	18	25
chr10:104031963-unmod	52	49
chr10:104031990-mod	9	15
chr10:104031990-unmod	44	59
chr10:104032023-mod	10	13
chr10:104032023-unmod	57	63
chr10:104032084-mod	7	9
chr10:104032084-unmod	57	59
chr10:104032126-mod	6	8
chr10:104032126-unmod	52	66
chr10:104032207-mod	12	15
chr10:104032207-unmod	71	75
chr10:104032218-mod	6	5
chr10:104032218-unmod	72	85
chr10:104032286-mod	2	9
chr10:104032286-unmod	91	86
chr10:104032698-mod	12	11
chr10:104032698-unmod	77	73
chr10:104032750-mod	4	1
chr10:104032750-unmod	38	37
chr10:104032912-mod	18	13
chr10:104032912-unmod	70	80
chr10:104032948-mod	3	7
chr10:104032948-unmod	76	83
chr10:104033237-mod	3	5
chr10:104033237-unmod	79	81
chr10:104033248-mod	3	4
chr10:104033248-unmod	65	69
chr10:104033257-mod	8	15
chr10:104033257-unmod	65	66
chr10:104033264-mod	6	25
chr10:104033264-unmod	71	60
chr10:104034003-mod	6	7
chr10:104034003-unmod	68	69
chr10:104034017-mod	13	21
chr10:104034017-unmod	55	53
chr10:104034081-mod	4	2
chr10:104034081-unmod	62	75
chr10:104034267-mod	10	11
chr10:104034267-unmod	44	59
chr10:104034278-mod	7	11
chr10:104034278-unmod	51	60
chr10:104034732-mod	7	11
chr10:104034732-unmod	46	52
chr10:104035282-mod	9	8
chr10:104035282-unmod	44	45
chr10:104035347-mod	1	3
chr10:104035347-unmod	49	50
chr10:104035506-mod	2	1
chr10:104035506-unmod	43	55
chr10:104036532-mod	2	5
chr10:104036532-unmod	45	46
chr10:104037064-mod	2	3
chr10:104037064-unmod	38	47
chr10:104037635-mod	2	1
chr10:104037635-unmod	38	42
chr10:104037683-mod	1	2
chr10:104037683-unmod	41	46
chr10:104037708-mod	7	7
chr10:104037708-unmod	35	41
chr10:104037769-mod	4	4
chr10:104037769-unmod	39	45
chr10:104039449-mod	2	4
chr10:104039449-unmod	35	32
chr10:104039460-mod	4	3
chr10:104039460-unmod	33	34
chr10:104039502-mod	5	5
chr10:104039502-unmod	27	29
chr10:104039979-mod	2	5
chr10:104039979-unmod	33	32
chr10:104041318-mod	2	1
chr10:104041318-unmod	29	27
chr10:104042426-mod	2	3
chr10:104042426-unmod	27	27
chr10:104043525-mod	1	2
chr10:104043525-unmod	30	26
chr10:104043543-mod	4	6
chr10:104043543-unmod	27	22
chr10:104043830-mod	2	5
chr10:104043830-unmod	30	26
chr10:104043855-mod	3	7
chr10:104043855-unmod	28	23
chr10:104045791-mod	2	4
chr10:104045791-unmod	28	28
chr10:104046762-mod	1	3
chr10:104046762-unmod	27	26
chr10:104047763-mod	3	5
chr10:104047763-unmod	26	24
chr10:104047805-mod	4	1
chr10:104047805-unmod	25	28
chr10:104050104-mod	1	2
chr10:104050104-unmod	24	14
chr10:104050120-mod	2	1
chr10:104050120-unmod	24	16
chr10:104050627-mod	1	1
chr10:104050627-unmod	21	16
chr10:104050645-mod	1	3
chr10:104050645-unmod	11	10
chr10:104050863-mod	2	5
chr10:104050863-unmod	21	9
chr10:104052203-mod	1	2
chr10:104052203-unmod	9	11
chr10:104259748-mod	3	4
chr10:104259748-unmod	65	108
chr10:104266089-mod	17	34
chr10:104266089-unmod	57	91
chr10:104267272-mod	1	2
chr10:104267272-unmod	66	110
chr10:104267278-mod	8	16
chr10:104267278-unmod	60	110
chr10:104267340-mod	9	14
chr10:104267340-unmod	63	112
chr10:104267373-mod	3	10
chr10:104267373-unmod	66	109
chr10:104267391-mod	9	29
chr10:104267391-unmod	52	93
chr10:11870608-mod	3	11
chr10:11870608-unmod	9	12
chr10:119499975-mod	2	2
chr10:119499975-unmod	11	20
chr10:119500018-mod	3	14
chr10:119500018-unmod	9	6
chr10:119500056-mod	4	5
chr10:119500056-unmod	8	15
chr10:119500094-mod	5	9
chr10:119500094-unmod	5	10
chr10:119500186-mod	4	4
chr10:119500186-unmod	8	20
chr10:119500209-mod	4	5
chr10:119500209-unmod	8	16
chr10:119515512-mod	1	1
chr10:119515512-unmod	10	20
chr10:119515544-mod	1	4
chr10:119515544-unmod	10	19
chr10:122488937-mod	1	5
chr10:122488937-unmod	54	76
chr10:122489487-mod	12	28
chr10:122489487-unmod	38	50
chr10:122489497-mod	3	5
chr10:122489497-unmod	57	78
chr10:122489515-mod	1	6
chr10:122489515-unmod	60	79
chr10:122489618-mod	5	12
chr10:122489618-unmod	58	83
chr10:12249616-mod	2	2
chr10:12249616-unmod	8	8
chr10:122506856-mod	2	2
chr10:122506856-unmod	58	87
chr10:122506867-mod	1	2
chr10:122506867-unmod	65	91
chr10:122507376-mod	4	4
chr10:122507376-unmod	63	90
chr10:122508691-mod	1	7
chr10:122508691-unmod	69	92
chr10:122508755-mod	4	3
chr10:122508755-unmod	61	92
chr10:122511989-mod	15	20
chr10:122511989-unmod	47	69
chr10:122512001-mod	3	6
chr10:122512001-unmod	24	33
chr10:122514232-mod	14	33
chr10:122514232-unmod	21	34
chr10:122514291-mod	13	19
chr10:122514291-unmod	73	97
chr10:122514376-mod	27	41
chr10:122514376-unmod	50	71
chr10:122514396-mod	41	51
chr10:122514396-unmod	45	59
chr10:122514421-mod	53	75
chr10:122514421-unmod	39	45
chr10:122514442-mod	19	34
chr10:122514442-unmod	69	84
chr10:122514451-mod	22	20
chr10:122514451-unmod	72	94
chr10:122514458-mod	19	24
chr10:122514458-unmod	70	94
chr10:122514484-mod	6	10
chr10:122514484-unmod	83	95
chr10:122514627-mod	32	38
chr10:122514627-unmod	27	59
chr10:122514653-mod	11	22
chr10:122514653-unmod	81	109
chr10:122514732-mod	49	80
chr10:122514732-unmod	36	50
chr10:122514787-mod	11	19
chr10:122514787-unmod	82	114
chr10:122514868-mod	9	23
chr10:122514868-unmod	80	109
chr10:130166938-mod	2	1
chr10:130166938-unmod	8	27
chr10:130179343-mod	1	5
chr10:130179343-unmod	9	32
chr10:133364681-mod	1	1
chr10:133364681-unmod	9	9
chr10:17229515-mod	11	24
chr10:17229515-unmod	106	195
chr10:17229666-mod	19	49
chr10:17229666-unmod	103	193
chr10:17229675-mod	17	53
chr10:17229675-unmod	99	184
chr10:17229714-mod	6	20
chr10:17229714-unmod	98	181
chr10:17229756-mod	3	3
chr10:17229756-unmod	111	230
chr10:17229864-mod	12	26
chr10:17229864-unmod	138	249
chr10:17229906-mod	6	13
chr10:17229906-unmod	128	225
chr10:17229963-mod	4	6
chr10:17229963-unmod	153	255
chr10:17233593-mod	2	2
chr10:17233593-unmod	162	283
chr10:17233617-mod	2	6
chr10:17233617-unmod	175	292
chr10:17233669-mod	5	13
chr10:17233669-unmod	148	245
chr10:17233801-mod	24	40
chr10:17233801-unmod	182	286
chr10:17233839-mod	18	73
chr10:17233839-unmod	169	217
chr10:17233896-mod	11	22
chr10:17233896-unmod	198	301
chr10:17234699-mod	26	43
chr10:17234699-unmod	169	252
chr10:17234723-mod	5	5
chr10:17234723-unmod	235	351
chr10:17234815-mod	16	15
chr10:17234815-unmod	247	362
chr10:17235208-mod	14	47
chr10:17235208-unmod	245	318
chr10:17235229-mod	3	9
chr10:17235229-unmod	262	345
chr10:17235238-mod	6	5
chr10:17235238-unmod	242	332
chr10:17235340-mod	1	10
chr10:17235340-unmod	273	378
chr10:17235865-mod	5	10
chr10:17235865-unmod	256	381
chr10:17235880-mod	23	39
chr10:17235880-unmod	225	307
chr10:17236340-mod	13	36
chr10:17236340-unmod	274	332
chr10:17236364-mod	23	39
chr10:17236364-unmod	264	356
chr10:17236375-mod	6	18
chr10:17236375-unmod	216	287
chr10:17237241-mod	3	12
chr10:17237241-unmod	274	380
chr10:17237260-mod	8	18
chr10:17237260-unmod	270	356
chr10:17237340-mod	1	2
chr10:17237340-unmod	285	393
chr10:17237524-mod	21	54
chr10:17237524-unmod	276	360
chr10:3107214-mod	1	5
chr10:3107214-unmod	12	15
chr10:3108725-mod	1	1
chr10:3108725-unmod	12	17
chr10:3108766-mod	1	4
chr10:3108766-unmod	14	15
chr10:3109439-mod	2	1
chr10:3109439-unmod	13	19
chr10:3112221-mod	1	2
chr10:3112221-unmod	15	18
chr10:3113138-mod	2	4
chr10:3113138-unmod	22	17
chr10:3116838-mod	1	1
chr10:3116838-unmod	23	22
chr10:3119902-mod	1	3
chr10:3119902-unmod	30	22
chr10:3120030-mod	3	4
chr10:3120030-unmod	23	21
chr10:3129851-mod	2	3
chr10:3129851-unmod	31	24
chr10:3133222-mod	3	2
chr10:3133222-unmod	33	27
chr10:3133279-mod	1	5
chr10:3133279-unmod	37	34
chr10:3134510-mod	3	1
chr10:3134510-unmod	25	34
chr10:3134518-mod	1	3
chr10:3134518-unmod	34	34
chr10:3134559-mod	3	1
chr10:3134559-unmod	37	39
chr10:3136538-mod	2	5
chr10:3136538-unmod	31	21
chr10:3136554-mod	4	8
chr10:3136554-unmod	36	36
chr10:3136578-mod	3	4
chr10:3136578-unmod	37	33
chr10:3136615-mod	13	18
chr10:3136615-unmod	27	24
chr10:32900620-mod	38	61
chr10:32900620-unmod	52	70
chr10:32900679-mod	6	7
chr10:32900679-unmod	82	115
chr10:32900870-mod	10	28
chr10:32900870-unmod	69	97
chr10:32900914-mod	5	10
chr10:32900914-unmod	72	109
chr10:32901079-mod	5	20
chr10:32901079-unmod	61	87
chr10:32901084-mod	2	2
chr10:32901084-unmod	66	95
chr10:32901200-mod	4	28
chr10:32901200-unmod	65	71
chr10:32901307-mod	12	26
chr10:32901307-unmod	43	65
chr10:32901322-mod	1	5
chr10:32901322-unmod	58	87
chr10:32901375-mod	11	13
chr10:32901375-unmod	54	84
chr10:32901382-mod	1	2
chr10:32901382-unmod	58	84
chr10:32901386-mod	25	34
chr10:32901386-unmod	35	51
chr10:32908371-mod	1	6
chr10:32908371-unmod	45	66
chr10:32908422-mod	4	4
chr10:32908422-unmod	47	81
chr10:32911606-mod	14	28
chr10:32911606-unmod	22	35
chr10:32911991-mod	4	5
chr10:32911991-unmod	19	35
chr10:32912099-mod	1	3
chr10:32912099-unmod	23	45
chr10:4963438-mod	3	6
chr10:4963438-unmod	19	92
chr10:4966014-mod	5	30
chr10:4966014-unmod	18	70
chr10:4967008-mod	2	7
chr10:4967008-unmod	21	110
chr10:4972232-mod	1	14
chr10:4972232-unmod	34	111
chr10:4972304-mod	1	6
chr10:4972304-unmod	43	145
chr10:4972594-mod	9	32
chr10:4972594-unmod	38	126
chr10:4972653-mod	10	33
chr10:4972653-unmod	34	114
chr10:4972736-mod	5	4
chr10:4972736-unmod	36	145
chr10:4975868-mod	4	12
chr10:4975868-unmod	45	168
chr10:4975922-mod	1	6
chr10:4975922-unmod	50	170
chr10:4977793-mod	4	19
chr10:4977793-unmod	45	151
chr10:4977819-mod	9	44
chr10:4977819-unmod	39	124
chr10:4977824-mod	4	16
chr10:4977824-unmod	36	135
chr10:4977903-mod	1	4
chr10:4977903-unmod	45	156
chr10:4989943-mod	1	2
chr10:4989943-unmod	14	25
chr10:4995451-mod	1	3
chr10:4995451-unmod	11	15
chr10:4995832-mod	1	2
chr10:4995832-unmod	10	15
chr10:5000592-mod	1	2
chr10:5000592-unmod	9	9
chr10:5765303-mod	2	7
chr10:5765303-unmod	21	45
chr10:5765384-mod	9	25
chr10:5765384-unmod	15	29
chr10:5765564-mod	2	3
chr10:5765564-unmod	21	27
chr10:5765784-mod	1	1
chr10:5765784-unmod	9	18
chr10:5766054-mod	2	2
chr10:5766054-unmod	8	18
chr10:5766498-mod	1	4
chr10:5766498-unmod	9	10
chr10:69392255-mod	2	10
chr10:69392255-unmod	9	23
chr10:69398679-mod	1	1
chr10:69398679-unmod	23	29
chr10:69398768-mod	3	3
chr10:69398768-unmod	23	30
chr10:69398787-mod	3	10
chr10:69398787-unmod	23	24
chr10:69398805-mod	2	2
chr10:69398805-unmod	20	34
chr10:69401023-mod	7	10
chr10:69401023-unmod	17	24
chr10:69401375-mod	1	1
chr10:69401375-unmod	25	39
chr10:69401692-mod	3	8
chr10:69401692-unmod	30	45
chr10:69401712-mod	5	17
chr10:69401712-unmod	30	43
chr10:69401855-mod	7	15
chr10:69401855-unmod	24	35
chr10:69401864-mod	1	2
chr10:69401864-unmod	30	52
chr10:70203024-mod	5	10
chr10:70203024-unmod	28	36
chr10:70203054-mod	11	19
chr10:70203054-unmod	21	25
chr10:70209255-mod	2	2
chr10:70209255-unmod	21	19
chr10:70209288-mod	3	2
chr10:70209288-unmod	21	31
chr10:70209633-mod	3	2
chr10:70209633-unmod	18	27
chr10:70214575-mod	1	1
chr10:70214575-unmod	19	29
chr10:70217830-mod	1	2
chr10:70217830-unmod	22	30
chr10:70217917-mod	1	2
chr10:70217917-unmod	9	17
chr10:70233337-mod	2	2
chr10:70233337-unmod	10	18
chr10:71816360-mod	38	44
chr10:71816360-unmod	130	157
chr10:71816382-mod	4	11
chr10:71816382-unmod	189	271
chr10:71816403-mod	3	13
chr10:71816403-unmod	198	253
chr10:71816574-mod	10	16
chr10:71816574-unmod	244	349
chr10:71816679-mod	4	10
chr10:71816679-unmod	223	330
chr10:71816859-mod	4	5
chr10:71816859-unmod	218	347
chr10:71816973-mod	3	2
chr10:71816973-unmod	206	303
chr10:71816986-mod	38	81
chr10:71816986-unmod	177	245
chr10:71817018-mod	27	63
chr10:71817018-unmod	201	273
chr10:71817078-mod	7	22
chr10:71817078-unmod	198	289
chr10:71817125-mod	8	19
chr10:71817125-unmod	196	283
chr10:71817351-mod	6	28
chr10:71817351-unmod	200	269
chr10:71817444-mod	30	45
chr10:71817444-unmod	153	219
chr10:71818641-mod	23	56
chr10:71818641-unmod	155	195
chr10:71818681-mod	25	67
chr10:71818681-unmod	153	190
chr10:71819480-mod	6	16
chr10:71819480-unmod	145	215
chr10:71819613-mod	14	58
chr10:71819613-unmod	127	155
chr10:71819716-mod	14	26
chr10:71819716-unmod	111	168
chr10:71819820-mod	1	3
chr10:71819820-unmod	132	195
chr10:71820244-mod	5	9
chr10:71820244-unmod	105	163
chr10:71820255-mod	5	13
chr10:71820255-unmod	114	176
chr10:71820268-mod	12	22
chr10:71820268-unmod	114	171
chr10:71821893-mod	37	55
chr10:71821893-unmod	88	140
chr10:71821943-mod	1	3
chr10:71821943-unmod	108	173
chr10:71825885-mod	11	22
chr10:71825885-unmod	96	148
chr10:71828041-mod	5	22
chr10:71828041-unmod	105	161
chr10:71828061-mod	3	13
chr10:71828061-unmod	105	157
chr10:71828093-mod	2	2
chr10:71828093-unmod	72	119
chr10:71828105-mod	1	6
chr10:71828105-unmod	103	168
chr10:71828113-mod	2	8
chr10:71828113-unmod	87	144
chr10:71828117-mod	29	72
chr10:71828117-unmod	76	107
chr10:71828134-mod	18	53
chr10:71828134-unmod	88	113
chr10:71828959-mod	17	44
chr10:71828959-unmod	75	111
chr10:71831168-mod	7	9
chr10:71831168-unmod	86	146
chr10:71831198-mod	29	59
chr10:71831198-unmod	61	102
chr10:71831216-mod	30	83
chr10:71831216-unmod	55	54
chr10:71834384-mod	4	13
chr10:71834384-unmod	80	120
chr10:71834482-mod	18	36
chr10:71834482-unmod	63	95
chr10:72273954-mod	13	26
chr10:72273954-unmod	67	130
chr10:72274047-mod	1	11
chr10:72274047-unmod	71	128
chr10:72274232-mod	12	26
chr10:72274232-unmod	71	121
chr10:72274282-mod	27	53
chr10:72274282-unmod	54	91
chr10:72274346-mod	1	1
chr10:72274346-unmod	79	138
chr10:72274373-mod	7	30
chr10:72274373-unmod	89	151
chr10:72274388-mod	4	13
chr10:72274388-unmod	91	140
chr10:72274745-mod	2	13
chr10:72274745-unmod	107	178
chr10:72274758-mod	25	58
chr10:72274758-unmod	84	140
chr10:72274878-mod	17	46
chr10:72274878-unmod	94	158
chr10:72275014-mod	4	12
chr10:72275014-unmod	107	176
chr10:72275033-mod	61	105
chr10:72275033-unmod	27	45
chr10:72275163-mod	9	21
chr10:72275163-unmod	101	178
chr10:72275188-mod	48	80
chr10:72275188-unmod	74	140
chr10:72275223-mod	10	20
chr10:72275223-unmod	96	183
chr10:72275237-mod	67	126
chr10:72275237-unmod	49	89
chr10:72275252-mod	3	11
chr10:72275252-unmod	111	199
chr10:72275273-mod	95	167
chr10:72275273-unmod	30	58
chr10:72275294-mod	7	32
chr10:72275294-unmod	100	167
chr10:72275381-mod	10	22
chr10:72275381-unmod	96	196
chr10:72275483-mod	7	16
chr10:72275483-unmod	91	201
chr10:72275501-mod	2	4
chr10:72275501-unmod	108	239
chr10:72275642-mod	1	5
chr10:72275642-unmod	111	241
chr10:72275701-mod	10	37
chr10:72275701-unmod	84	188
chr10:72275783-mod	2	4
chr10:72275783-unmod	105	238
chr10:72275884-mod	1	6
chr10:72275884-unmod	116	253
chr10:72275926-mod	56	150
chr10:72275926-unmod	57	90
chr10:72275988-mod	1	20
chr10:72275988-unmod	92	193
chr10:72276019-mod	1	5
chr10:72276019-unmod	76	148
chr10:73250842-mod	2	3
chr10:73250842-unmod	16	11
chr10:73250938-mod	3	4
chr10:73250938-unmod	15	10
chr10:73251824-mod	1	1
chr10:73251824-unmod	15	12
chr10:73916789-mod	3	2
chr10:73916789-unmod	7	9
chr10:75210928-mod	6	9
chr10:75210928-unmod	58	43
chr10:75211172-mod	3	2
chr10:75211172-unmod	66	58
chr10:75212256-mod	1	1
chr10:75212256-unmod	68	55
chr10:75214036-mod	1	7
chr10:75214036-unmod	83	64
chr10:75214049-mod	1	1
chr10:75214049-unmod	82	70
chr10:75219113-mod	1	2
chr10:75219113-unmod	72	70
chr10:75219122-mod	1	1
chr10:75219122-unmod	73	65
chr10:75219152-mod	9	6
chr10:75219152-unmod	72	64
chr10:75219171-mod	6	5
chr10:75219171-unmod	70	63
chr10:75219191-mod	2	4
chr10:75219191-unmod	70	65
chr10:75219320-mod	4	15
chr10:75219320-unmod	84	64
chr10:75219324-mod	1	1
chr10:75219324-unmod	84	72
chr10:75219349-mod	1	1
chr10:75219349-unmod	78	71
chr10:75220807-mod	4	5
chr10:75220807-unmod	83	71
chr10:75220823-mod	4	4
chr10:75220823-unmod	76	62
chr10:75220884-mod	1	1
chr10:75220884-unmod	89	78
chr10:75220921-mod	2	2
chr10:75220921-unmod	92	80
chr10:75220941-mod	27	32
chr10:75220941-unmod	68	51
chr10:75220948-mod	11	13
chr10:75220948-unmod	80	67
chr10:75222261-mod	16	12
chr10:75222261-unmod	54	52
chr10:75222330-mod	3	3
chr10:75222330-unmod	89	81
chr10:75229688-mod	2	10
chr10:75229688-unmod	97	90
chr10:75231054-mod	12	11
chr10:75231054-unmod	66	64
chr10:75231135-mod	2	1
chr10:75231135-unmod	90	81
chr10:75231224-mod	11	11
chr10:75231224-unmod	107	102
chr10:75231271-mod	7	4
chr10:75231271-unmod	43	46
chr10:75231413-mod	4	3
chr10:75231413-unmod	19	9
chr10:78035387-mod	7	33
chr10:78035387-unmod	237	354
chr10:78035552-mod	1	2
chr10:78035552-unmod	269	439
chr10:78035569-mod	6	8
chr10:78035569-unmod	274	474
chr10:78035624-mod	83	125
chr10:78035624-unmod	211	364
chr10:78035645-mod	1	1
chr10:78035645-unmod	230	411
chr10:78035698-mod	78	138
chr10:78035698-unmod	209	347
chr10:78035704-mod	7	18
chr10:78035704-unmod	288	476
chr10:78035710-mod	58	103
chr10:78035710-unmod	220	370
chr10:78037217-mod	4	6
chr10:78037217-unmod	296	487
chr10:78037248-mod	1	13
chr10:78037248-unmod	255	422
chr10:78037271-mod	30	52
chr10:78037271-unmod	283	460
chr10:78040674-mod	39	81
chr10:78040674-unmod	233	364
chr10:78040684-mod	10	22
chr10:78040684-unmod	245	375
chr10:78040691-mod	4	5
chr10:78040691-unmod	148	223
chr10:80155669-mod	6	3
chr10:80155669-unmod	11	11
chr10:80155686-mod	5	3
chr10:80155686-unmod	10	11
chr10:80155707-mod	1	2
chr10:80155707-unmod	13	8
chr10:80155856-mod	3	3
chr10:80155856-unmod	10	9
chr10:80157708-mod	1	1
chr10:80157708-unmod	15	16
chr10:80157746-mod	4	3
chr10:80157746-unmod	12	12
chr10:80161994-mod	1	1
chr10:80161994-unmod	13	13
chr10:84141617-mod	2	1
chr10:84141617-unmod	34	51
chr10:84142696-mod	2	12
chr10:84142696-unmod	33	38
chr10:84142707-mod	2	10
chr10:84142707-unmod	33	44
chr10:84144070-mod	6	20
chr10:84144070-unmod	24	36
chr10:84144990-mod	11	24
chr10:84144990-unmod	27	35
chr10:84148741-mod	1	4
chr10:84148741-unmod	35	56
chr10:84148793-mod	1	2
chr10:84148793-unmod	34	47
chr10:84150189-mod	15	17
chr10:84150189-unmod	21	41
chr10:84152352-mod	3	10
chr10:84152352-unmod	36	54
chr10:84152610-mod	1	1
chr10:84152610-unmod	21	23
chr10:84152819-mod	5	8
chr10:84152819-unmod	17	16
chr10:86968566-mod	3	6
chr10:86968566-unmod	9	16
chr10:86968589-mod	1	5
chr10:86968589-unmod	12	20
chr10:86970592-mod	1	1
chr10:86970592-unmod	13	25
chr10:95237578-mod	1	4
chr10:95237578-unmod	9	29
chr10:95237612-mod	3	9
chr10:95237612-unmod	70	90
chr10:95237636-mod	2	16
chr10:95237636-unmod	78	102
chr10:95237727-mod	9	16
chr10:95237727-unmod	82	101
chr10:95237771-mod	10	17
chr10:95237771-unmod	80	95
chr10:95237910-mod	3	9
chr10:95237910-unmod	72	99
chr10:95238051-mod	15	27
chr10:95238051-unmod	69	76
chr10:95238087-mod	9	15
chr10:95238087-unmod	65	81
chr10:95238588-mod	2	7
chr10:95238588-unmod	86	100
chr10:95263872-mod	18	18
chr10:95263872-unmod	35	58
chr10:95263897-mod	2	2
chr10:95263897-unmod	44	73
chr10:95268783-mod	5	5
chr10:95268783-unmod	51	80
chr10:95268855-mod	8	12
chr10:95268855-unmod	51	85
chr10:95271648-mod	8	13
chr10:95271648-unmod	50	63
chr10:95271677-mod	4	12
chr10:95271677-unmod	44	70
chr10:95271696-mod	8	7
chr10:95271696-unmod	45	77
chr10:95290847-mod	4	7
chr10:95290847-unmod	52	76
chr10:95290911-mod	4	5
chr10:95290911-unmod	47	61
chr10:96521448-mod	1	3
chr10:96521448-unmod	12	12
chr10:96521772-mod	2	3
chr10:96521772-unmod	8	9
chr10:96522242-mod	2	4
chr10:96522242-unmod	8	6
chr10:97426356-mod	10	9
chr10:97426356-unmod	44	52
chr10:97426365-mod	8	9
chr10:97426365-unmod	55	61
chr10:97430443-mod	5	6
chr10:97430443-unmod	63	56
chr10:97430488-mod	11	9
chr10:97430488-unmod	61	67
chr10:97430545-mod	2	4
chr10:97430545-unmod	64	72
chr10:97432384-mod	38	37
chr10:97432384-unmod	36	39
chr10:97432420-mod	4	2
chr10:97432420-unmod	58	63
chr10:97432426-mod	12	17
chr10:97432426-unmod	74	78
chr10:97432610-mod	7	19
chr10:97432610-unmod	68	67
chr10:97432623-mod	1	4
chr10:97432623-unmod	77	94
chr10:97432651-mod	6	8
chr10:97432651-unmod	75	79
chr10:97432799-mod	15	19
chr10:97432799-unmod	82	86
chr10:97432833-mod	44	61
chr10:97432833-unmod	47	46
chr10:97432862-mod	4	13
chr10:97432862-unmod	85	89
chr10:97433003-mod	4	10
chr10:97433003-unmod	83	94
chr10:97433021-mod	5	11
chr10:97433021-unmod	86	88
chr10:97433217-mod	2	5
chr10:97433217-unmod	85	103
chr10:97433352-mod	1	6
chr10:97433352-unmod	97	99
chr10:97433388-mod	14	17
chr10:97433388-unmod	90	97
chr11:10797237-mod	1	8
chr11:10797237-unmod	28	35
chr11:10797381-mod	5	10
chr11:10797381-unmod	27	51
chr11:10797484-mod	4	7
chr11:10797484-unmod	23	36
chr11:10797528-mod	1	8
chr11:10797528-unmod	28	39
chr11:10797811-mod	4	5
chr11:10797811-unmod	17	25
chr11:10797819-mod	2	3
chr11:10797819-unmod	20	28
chr11:10797853-mod	1	3
chr11:10797853-unmod	19	26
chr11:118401647-mod	3	7
chr11:118401647-unmod	50	57
chr11:118401662-mod	2	4
chr11:118401662-unmod	62	74
chr11:118406944-mod	2	5
chr11:118406944-unmod	63	71
chr11:118409151-mod	3	5
chr11:118409151-unmod	59	74
chr11:118409166-mod	3	3
chr11:118409166-unmod	45	64
chr11:119015726-mod	3	12
chr11:119015726-unmod	272	343
