inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	M1C2.S29_mtcsc_b1	M1C3.S37_mtcsc_b1	M2C2.S27_mtcsc_b1	lr	padj	dpsi
inclusion	N	alternative_first_exon	GNAS	chr20:58898986-58903530	+	0.133	0.133	0.133	0.133	0.357	0.357	0.357	79.21	8.22e-16	22.399999999999995
inclusion	K	intron_retention	COL17A1	chr10:104031594-104032203	-	0.636	0.636	0.636	0.636	0.859	0.859	0.859	79.02	8.42e-16	22.300000000000004
inclusion	K	intron_retention	BUB3	chr10:123162829-123165046	+	0.461	0.461	0.461	0.461	0.099	0.099	0.099	78.02	1.3e-15	-36.2
inclusion	K	cassette	SPTAN1	chr9:128609651-128609665	+	0.179	0.179	0.179	0.179	0.033	0.033	0.033	75.42	4.55e-15	-14.599999999999998
inclusion	K	alternative_first_exon	PABPC4	chr1:39563742-39563835	-	0.838	0.838	0.838	0.838	0.518	0.518	0.518	71.88	2.58e-14	-31.999999999999993
inclusion	K	intron_retention	BACE1	chr11:117291814-117293053	-	0.152	0.152	0.152	0.152	0.586	0.586	0.586	69.53	8.02e-14	43.39999999999999
inclusion	K	alternative_last_exon	DKK3	chr11:11998780-12002299	-	0.803	0.803	0.803	0.803	0.487	0.487	0.487	68.2	1.49e-13	-31.600000000000016
inclusion	K	alternative_acceptor	ALS2CL	chr3:46675977-46676244	-	0.483	0.483	0.483	0.483	0.13	0.13	0.13	68.07	1.51e-13	-35.3
inclusion	K	intron_retention	FAM20C	chr7:195733-208897	+	0.182	0.182	0.182	0.182	0.498	0.498	0.498	67.29	2.13e-13	31.599999999999998
inclusion	K	cassette	SH3YL1	chr2:224864-224920	-	0.281	0.281	0.281	0.281	0.567	0.567	0.567	66.15	3.63e-13	28.599999999999994
inclusion	N	alternative_acceptor	CTNNB1	chr3:41239355-41239818	+	0.363	0.363	0.363	0.363	0.1	0.1	0.1	64.73	7.13e-13	-26.299999999999997
inclusion	K	alternative_acceptor	PXN	chr12:120215418-120215559	-	0.647	0.647	0.647	0.647	0.327	0.327	0.327	63.16	1.52e-12	-32.0
inclusion	K	intron_retention	SNHG29	chr17:16439415-16439659	+	0.255	0.255	0.255	0.255	0.078	0.078	0.078	61.5	3.39e-12	-17.7
inclusion	K	cassette	PPP1R12A	chr12:79806166-79806333	-	0.746	0.746	0.746	0.746	0.277	0.277	0.277	60.85	4.54e-12	-46.89999999999999
inclusion	N	cassette	GTF2IRD1	chr7:74544755-74544802	+	0.978	0.978	0.978	0.978	0.832	0.832	0.832	60.18	6.14e-12	-14.599999999999994
inclusion	N	cassette	MICAL2	chr11:12249184-12249246	+	0.198	0.198	0.198	0.198	0.419	0.419	0.419	58.36	1.49e-11	22.099999999999998
inclusion	N	cassette	SH3YL1	chr2:224868-224920	-	0.164	0.164	0.164	0.164	0.406	0.406	0.406	57.91	1.81e-11	24.2
inclusion	N	cassette	HNRNPC	chr14:21263311-21263336	-	0.652	0.652	0.652	0.652	0.829	0.829	0.829	56.91	2.91e-11	17.69999999999999
inclusion	K	alternative_acceptor	RACK1	chr5:181241640-181242169	-	0.9	0.9	0.9	0.9	0.611	0.611	0.611	56.65	3.21e-11	-28.9
inclusion	N	intron_retention	RPL7A	chr9:133350320-133350656	+	0.818	0.818	0.818	0.818	0.32	0.32	0.32	56.07	4.18e-11	-49.8
inclusion	K	intron_retention	TNIP1	chr5:151030674-151032286	-	0.722	0.722	0.722	0.722	0.466	0.466	0.466	55.5	5.26e-11	-25.6
inclusion	N	cassette	POLB	chr8:42354417-42354521	+	0.116	0.116	0.116	0.116	0.42	0.42	0.42	55.53	5.26e-11	30.4
inclusion	K	intron_retention	CDH3	chr16:68695924-68698092	+	0.331	0.331	0.331	0.331	0.723	0.723	0.723	52.56	2.28e-10	39.199999999999996
inclusion	K	alternative_last_exon	TTC17	chr11:43444210-43445930	+	0.453	0.453	0.453	0.453	0.163	0.163	0.163	51.97	3e-10	-29.000000000000004
inclusion	K	alternative_first_exon	LRRFIP1	chr2:237769819-237769942	+	0.236	0.236	0.236	0.236	0.774	0.774	0.774	51.85	3.11e-10	53.80000000000001
inclusion	K	alternative_acceptor	SRP19	chr5:112864733-112867371	+	0.078	0.078	0.078	0.078	0.313	0.313	0.313	50.31	6.63e-10	23.5
inclusion	K	intron_retention	KHSRP	chr19:6414121-6415140	-	0.936	0.936	0.936	0.936	0.777	0.777	0.777	50.08	7.23e-10	-15.900000000000006
inclusion	K	alternative_donor	PKM	chr15:72200656-72202453	-	0.811	0.811	0.811	0.811	0.633	0.633	0.633	49.19	1.11e-09	-17.80000000000001
inclusion	K	cassette	FXR1	chr3:180975313-180975404	+	0.298	0.298	0.298	0.298	0.614	0.614	0.614	49.12	1.13e-09	31.6
inclusion	K	alternative_last_exon	ZFAND1	chr8:81717289-81718181	-	0.352	0.352	0.352	0.352	0.717	0.717	0.717	48.29	1.67e-09	36.50000000000001
inclusion	N	alternative_donor	RPL7A	chr9:133350636-133350656	+	0.84	0.84	0.84	0.84	0.415	0.415	0.415	48.22	1.69e-09	-42.5
inclusion	K	intron_retention	MIR205HG	chr1:209429089-209429180	+	0.216	0.216	0.216	0.216	0.459	0.459	0.459	47.84	2.01e-09	24.299999999999997
inclusion	K	cassette	R3HDM1	chr2:135616668-135616757	+	0.227	0.227	0.227	0.227	0.59	0.59	0.59	47.78	2.03e-09	36.3
inclusion	K	alternative_first_exon	DMKN	chr19:35505766-35505938	-	0.865	0.865	0.865	0.865	0.572	0.572	0.572	47.56	2.15e-09	-29.300000000000004
inclusion	N	alternative_acceptor	BCL9	chr1:147622532-147623841	+	0.868	0.868	0.868	0.868	0.358	0.358	0.358	47.54	2.15e-09	-51.0
inclusion	N	cassette	C12orf29	chr12:88040148-88040265	+	0.37	0.37	0.37	0.37	0.857	0.857	0.857	47.62	2.15e-09	48.7
inclusion	K	alternative_last_exon	SEPTIN6	chrX:119625380-119629317,chrX:119625397-119629317	-	0.104	0.104	0.104	0.104	0.567	0.567	0.567	47.47	2.18e-09	46.3
inclusion	K	cassette	DROSHA	chr5:31521123-31521215	-	0.734	0.734	0.734	0.734	0.957	0.957	0.957	47.37	2.19e-09	22.299999999999997
inclusion	K	cassette	RAI14	chr5:34813574-34813660	+	0.581	0.581	0.581	0.581	0.865	0.865	0.865	47.35	2.19e-09	28.400000000000006
inclusion	K	intron_retention	ALS2CL	chr3:46675687-46676244	-	0.405	0.405	0.405	0.405	0.125	0.125	0.125	47.36	2.19e-09	-28.0
inclusion	K	cassette	ITPA	chr20:3213319-3213426	+	0.749	0.749	0.749	0.749	0.929	0.929	0.929	46.26	3.67e-09	18.0
inclusion	N	alternative_acceptor	PICALM	chr11:85981989-85983865	-	0.513	0.513	0.513	0.513	0.214	0.214	0.214	46.26	3.67e-09	-29.900000000000006
inclusion	K	alternative_acceptor	RPLP1	chr15:69453021-69453646	+	0.937	0.937	0.937	0.937	0.843	0.843	0.843	45.48	5.38e-09	-9.400000000000006
inclusion	N	cassette	ITGB1BP1	chr2:9418626-9418732	-	0.848	0.848	0.848	0.848	0.986	0.986	0.986	44.55	8.49e-09	13.799999999999997
inclusion	K	cassette	FLNB	chr3:58141858-58141929	+	0.862	0.862	0.862	0.862	0.508	0.508	0.508	44.48	8.65e-09	-35.400000000000006
inclusion	N	cassette	PLEKHM2	chr1:15721329-15721388	+	0.49	0.49	0.49	0.49	0.271	0.271	0.271	44.42	8.76e-09	-21.9
inclusion	K	cassette	OSBPL6	chr2:178372126-178372233	+	0.291	0.291	0.291	0.291	0.712	0.712	0.712	44.03	1.04e-08	42.10000000000001
inclusion	N	cassette	PLEK2	chr14:67398007-67398055	-	0.188	0.188	0.188	0.188	0.045	0.045	0.045	44.02	1.04e-08	-14.3
inclusion	N	alternative_acceptor	AL035458.2	chr20:34235031-34281026	-	0.785	0.785	0.785	0.785	0.429	0.429	0.429	43.96	1.05e-08	-35.6
inclusion	N	intron_retention	CTNNB1	chr3:41239354-41239811	.	0.872	0.872	0.872	0.872	0.97	0.97	0.97	43.76	1.15e-08	9.799999999999997
inclusion	K	alternative_acceptor	CDV3	chr3:133586723-133587158	+	0.343	0.343	0.343	0.343	0.558	0.558	0.558	43.64	1.2e-08	21.5
inclusion	K	intron_retention	RPL27A	chr11:8684082-8684822	+	0.87	0.87	0.87	0.87	0.702	0.702	0.702	43.58	1.22e-08	-16.80000000000001
inclusion	K	alternative_last_exon	DYRK4	chr12:4605087-4607326	+	0.609	0.609	0.609	0.609	0.887	0.887	0.887	43.4	1.31e-08	27.800000000000004
inclusion	N	cassette	DTYMK	chr2:241680229-241680319	-	0.61	0.61	0.61	0.61	0.895	0.895	0.895	43.35	1.33e-08	28.5
inclusion	K	cassette	PPP6R2	chr22:50436988-50437068	+	0.763	0.763	0.763	0.763	0.418	0.418	0.418	43.27	1.36e-08	-34.5
inclusion	K	cassette	IL17RE	chr3:9903397-9903412	+	0.62	0.62	0.62	0.62	0.239	0.239	0.239	43.12	1.43e-08	-38.1
inclusion	N	alternative_last_exon	TM7SF3	chr12:26979937-26980565	-	0.756	0.756	0.756	0.756	0.925	0.925	0.925	43.11	1.43e-08	16.900000000000006
inclusion	K	alternative_first_exon	DYRK4	chr12:4607388-4610154	+	0.434	0.434	0.434	0.434	0.785	0.785	0.785	43.02	1.48e-08	35.1
inclusion	K	mutually_exclusive	DROSHA	chr5:31515220-31515453,chr5:31515565-31526078	-	0.347	0.347	0.347	0.347	0.052	0.052	0.052	42.98	1.49e-08	-29.499999999999996
inclusion	K	cassette	MCM3	chr6:52265235-52265385	-	0.353	0.353	0.353	0.353	0.099	0.099	0.099	42.89	1.52e-08	-25.4
inclusion	K	cassette	REPS1	chr6:138926401-138926481	-	0.534	0.534	0.534	0.534	0.814	0.814	0.814	42.89	1.52e-08	27.999999999999986
inclusion	K	intron_retention	FTSJ1	chrX:48482795-48482985	+	0.156	0.156	0.156	0.156	0.342	0.342	0.342	42.76	1.6e-08	18.6
inclusion	K	mutually_exclusive	MTHFSD	chr16:86548578-86552032,chr16:86552147-86554644	-	0.698	0.698	0.698	0.698	0.206	0.206	0.206	42.34	1.95e-08	-49.2
inclusion	N	alternative_donor	RPLP1	chr15:69453021-69455169	+	0.065	0.065	0.065	0.065	0.156	0.156	0.156	42.28	2e-08	9.1
inclusion	K	alternative_acceptor	RNF181	chr2:85596650-85596821	+	0.803	0.803	0.803	0.803	0.956	0.956	0.956	42.03	2.23e-08	15.299999999999983
inclusion	N	alternative_last_exon	UPP1	chr7:48101983-48106872	+	0.357	0.357	0.357	0.357	0.14	0.14	0.14	41.73	2.57e-08	-21.699999999999996
inclusion	K	coord_cassette	BID	chr22:17743803-17744013	-	0.707	0.707	0.707	0.707	0.988	0.988	0.988	41.68	2.61e-08	28.099999999999994
inclusion	N	cassette	CIZ1	chr9:128187863-128187934	-	0.769	0.769	0.769	0.769	0.934	0.934	0.934	41.59	2.69e-08	16.5
inclusion	K	cassette	CANT1	chr17:79000100-79000270	-	0.086	0.086	0.086	0.086	0.346	0.346	0.346	41.12	3.34e-08	25.999999999999993
inclusion	N	cassette	ITPA	chr20:3213319-3213383	+	0.86	0.86	0.86	0.86	0.964	0.964	0.964	41.13	3.34e-08	10.399999999999991
inclusion	K	cassette	LRIF1	chr1:110951288-110952815	-	0.259	0.259	0.259	0.259	0.65	0.65	0.65	40.87	3.71e-08	39.099999999999994
inclusion	N	alternative_donor	SNHG8	chr4:118279138-118279388	+	0.917	0.917	0.917	0.917	0.739	0.739	0.739	40.88	3.71e-08	-17.799999999999997
inclusion	K	alternative_donor	RACK1	chr5:181241640-181242169	-	0.005	0.005	0.005	0.005	0.001	0.001	0.001	40.39	4.68e-08	-0.4
inclusion	N	alternative_acceptor	TNIP1	chr5:151030674-151032286	-	0.096	0.096	0.096	0.096	0.241	0.241	0.241	40.22	5.05e-08	14.499999999999998
inclusion	N	alternative_last_exon	BX470102.2	chr1:153580722-153606885	.	0.502	0.502	0.502	0.502	0.862	0.862	0.862	39.94	5.75e-08	36.0
inclusion	K	cassette	SEPTIN6	chrX:119625335-119625379	-	0.095	0.095	0.095	0.095	0.47	0.47	0.47	38.95	9.44e-08	37.5
inclusion	K	intron_retention	BACE1	chr11:117291050-117291711	-	0.119	0.119	0.119	0.119	0.415	0.415	0.415	37.86	1.63e-07	29.6
inclusion	K	intron_retention	TRIM16L	chr17:18705165-18722236	+	0.246	0.246	0.246	0.246	0.815	0.815	0.815	37.71	1.74e-07	56.9
inclusion	N	cassette	PCBP2	chr12:53467805-53467843	+	0.661	0.661	0.661	0.661	0.789	0.789	0.789	37.54	1.88e-07	12.799999999999997
inclusion	N	intron_retention	TUBB6	chr18:12308350-12329145	+	0.499	0.499	0.499	0.499	0.804	0.804	0.804	37.44	1.96e-07	30.500000000000007
inclusion	K	intron_retention	PKMYT1	chr16:2973065-2973137	-	0.869	0.869	0.869	0.869	0.665	0.665	0.665	37.17	2.22e-07	-20.400000000000006
inclusion	K	cassette	BID	chr22:17743803-17744013	-	0.66	0.66	0.66	0.66	0.983	0.983	0.983	37.09	2.3e-07	32.3
inclusion	K	coord_cassette	ITSN1	chr21:33823487-33823653	+	0.562	0.562	0.562	0.562	0.884	0.884	0.884	36.65	2.84e-07	32.2
inclusion	N	alternative_acceptor	SNX27	chr1:151693484-151694369	+	0.504	0.504	0.504	0.504	0.835	0.835	0.835	36.64	2.84e-07	33.1
inclusion	K	cassette	SLC16A4	chr1:110382834-110382966	-	0.863	0.863	0.863	0.863	0.563	0.563	0.563	36.11	3.68e-07	-30.0
inclusion	K	cassette	CD46	chr1:207767607-207767651	+	0.126	0.126	0.126	0.126	0.016	0.016	0.016	35.48	5.04e-07	-11.0
inclusion	N	cassette	MAPK8IP3	chr16:1744978-1745103	+	0.105	0.105	0.105	0.105	0.555	0.555	0.555	35.39	5.22e-07	45.00000000000001
inclusion	K	alternative_acceptor	HIPK2	chr7:139614494-139620400	-	0.591	0.591	0.591	0.591	0.303	0.303	0.303	35.06	6.06e-07	-28.799999999999994
inclusion	K	alternative_first_exon	CCND3	chr6:41937395-41940369	-	0.764	0.764	0.764	0.764	0.971	0.971	0.971	35.06	6.06e-07	20.69999999999999
inclusion	K	cassette	HNRNPDL	chr4:82425563-82425667	-	0.83	0.83	0.83	0.83	0.509	0.509	0.509	35.01	6.14e-07	-32.1
inclusion	K	mutually_exclusive	DIS3	chr13:72778381-72780845,chr13:72781004-72781604	-	0.471	0.471	0.471	0.471	0.948	0.948	0.948	34.91	6.42e-07	47.7
inclusion	K	intron_retention	BACE1	chr11:117290660-117290899	-	0.117	0.117	0.117	0.117	0.354	0.354	0.354	34.77	6.84e-07	23.699999999999996
inclusion	K	cassette	ISCU	chr12:108564060-108564155	+	0.191	0.191	0.191	0.191	0.057	0.057	0.057	34.7	7e-07	-13.400000000000002
inclusion	K	intron_retention	PLD3	chr19:40348769-40365717	+	0.831	0.831	0.831	0.831	0.628	0.628	0.628	34.53	7.57e-07	-20.299999999999997
inclusion	K	alternative_last_exon	ZDHHC16	chr10:97446354-97450356	+	0.052	0.052	0.052	0.052	0.276	0.276	0.276	34.3	8.47e-07	22.400000000000002
inclusion	N	cassette	CDK10	chr16:89689252-89689324	+	0.411	0.411	0.411	0.411	0.684	0.684	0.684	34.15	9.03e-07	27.30000000000001
inclusion	K	alternative_acceptor	WSB1	chr17:27306883-27307743	+	0.742	0.742	0.742	0.742	0.14	0.14	0.14	34.05	9.42e-07	-60.2
inclusion	N	alternative_acceptor	POLH	chr6:43610724-43611760	+	0.536	0.536	0.536	0.536	0.153	0.153	0.153	33.97	9.74e-07	-38.300000000000004
inclusion	K	intron_retention	ATXN2L	chr16:28836123-28836727	+	0.561	0.561	0.561	0.561	0.791	0.791	0.791	33.88	1e-06	23.0
inclusion	K	intron_retention	TMSB10	chr2:84905719-84906002	+	0.014	0.014	0.014	0.014	0.006	0.006	0.006	33.89	1e-06	-0.8000000000000002
inclusion	K	intron_retention	CDV3	chr3:133586723-133587895	+	0.191	0.191	0.191	0.191	0.389	0.389	0.389	33.86	1e-06	19.799999999999997
inclusion	K	intron_retention	NAP1L1	chr12:76047719-76048392	-	0.092	0.092	0.092	0.092	0.22	0.22	0.22	33.62	1.12e-06	12.8
inclusion	K	alternative_donor	RACK1	chr5:181242346-181243679	-	0.014	0.014	0.014	0.014	0.006	0.006	0.006	33.41	1.25e-06	-0.8000000000000002
inclusion	K	alternative_acceptor	SYTL1	chr1:27348013-27349079	+	0.858	0.858	0.858	0.858	0.577	0.577	0.577	33.06	1.46e-06	-28.1
inclusion	K	intron_retention	ARRDC1	chr9:137615001-137615073	+	0.57	0.57	0.57	0.57	0.269	0.269	0.269	33.08	1.46e-06	-30.09999999999999
inclusion	K	intron_retention	YPEL3	chr16:30095336-30096096	-	0.887	0.887	0.887	0.887	0.494	0.494	0.494	33.02	1.48e-06	-39.300000000000004
inclusion	K	alternative_last_exon	VPS26C	chr21:37233443-37238459	-	0.788	0.788	0.788	0.788	0.515	0.515	0.515	32.97	1.51e-06	-27.299999999999997
inclusion	K	intron_retention	RPL10	chrX:154399942-154400701	+	0.253	0.253	0.253	0.253	0.073	0.073	0.073	32.9	1.54e-06	-18.0
inclusion	K	alternative_acceptor	ANKHD1	chr5:140436258-140438460	+	0.865	0.865	0.865	0.865	0.555	0.555	0.555	32.86	1.57e-06	-30.999999999999993
inclusion	K	cassette	ITSN1	chr21:33826818-33826863	+	0.393	0.393	0.393	0.393	0.793	0.793	0.793	32.71	1.68e-06	39.99999999999999
inclusion	K	cassette	RUFY1	chr5:179580947-179581012	+	0.825	0.825	0.825	0.825	0.959	0.959	0.959	32.57	1.79e-06	13.399999999999991
inclusion	K	alternative_acceptor	SERBP1	chr1:67424323-67424887	-	0.149	0.149	0.149	0.149	0.057	0.057	0.057	32.55	1.79e-06	-9.2
inclusion	K	alternative_acceptor	RPL27A	chr11:8684082-8684717	+	0.992	0.992	0.992	0.992	0.978	0.978	0.978	32.31	2.01e-06	-1.4000000000000057
inclusion	N	cassette	DIS3	chr13:72781289-72781356	-	0.539	0.539	0.539	0.539	0.058	0.058	0.058	32.12	2.2e-06	-48.10000000000001
inclusion	N	cassette	OCIAD2	chr4:48899829-48899925	-	0.837	0.837	0.837	0.837	0.943	0.943	0.943	31.91	2.44e-06	10.599999999999994
inclusion	N	alternative_last_exon	MECP2	chrX:154032558-154097603	-	0.732	0.732	0.732	0.732	0.946	0.946	0.946	31.73	2.65e-06	21.39999999999999
inclusion	N	cassette	MAPK13	chr6:36136019-36136048	+	0.92	0.92	0.92	0.92	0.797	0.797	0.797	31.46	3.03e-06	-12.299999999999997
inclusion	N	alternative_acceptor	CASP8	chr2:201258155-201266460	+	0.892	0.892	0.892	0.892	0.322	0.322	0.322	31.3	3.25e-06	-57.0
inclusion	K	cassette	HNRNPD	chr4:82354895-82355001	-	0.235	0.235	0.235	0.235	0.062	0.062	0.062	31.24	3.32e-06	-17.3
inclusion	K	coord_cassette	YEATS4	chr12:69365633-69365699	+	0.869	0.869	0.869	0.869	0.559	0.559	0.559	31.22	3.34e-06	-31.0
inclusion	N	alternative_last_exon	RPL28	chr19:55386694-55387929	+	0.961	0.961	0.961	0.961	0.989	0.989	0.989	31.14	3.46e-06	2.8000000000000114
inclusion	N	cassette	ENTPD6	chr20:25206522-25206590	+	0.187	0.187	0.187	0.187	0.414	0.414	0.414	31.07	3.56e-06	22.7
inclusion	N	cassette	SSBP4	chr19:18431353-18431418	+	0.437	0.437	0.437	0.437	0.211	0.211	0.211	31	3.65e-06	-22.600000000000005
inclusion	K	alternative_last_exon	PRPF40A	chr2:152679110-152679351	-	0.849	0.849	0.849	0.849	0.582	0.582	0.582	30.88	3.85e-06	-26.699999999999996
inclusion	K	cassette	DOCK9	chr13:98825872-98825940	-	0.53	0.53	0.53	0.53	0.204	0.204	0.204	30.72	4.17e-06	-32.6
inclusion	K	cassette	STRAP	chr12:15883541-15883676	+	0.995	0.995	0.995	0.995	0.902	0.902	0.902	30.69	4.19e-06	-9.299999999999997
inclusion	N	alternative_first_exon	PARD3	chr10:34331345-34336198	-	0.842	0.842	0.842	0.842	0.969	0.969	0.969	30.57	4.44e-06	12.699999999999989
inclusion	K	intron_retention	SNHG5	chr6:85678189-85678693	-	0.164	0.164	0.164	0.164	0.053	0.053	0.053	30.52	4.52e-06	-11.100000000000001
inclusion	K	alternative_first_exon	ATXN2	chr12:111452841-111453676	-	0.715	0.715	0.715	0.715	0.925	0.925	0.925	30.45	4.65e-06	21.0
inclusion	N	alternative_acceptor	ILK	chr11:6603823-6604225	+	0.539	0.539	0.539	0.539	0.731	0.731	0.731	30.34	4.86e-06	19.19999999999999
inclusion	N	alternative_acceptor	PSME2	chr14:24146241-24146533	-	0.969	0.969	0.969	0.969	0.833	0.833	0.833	30.33	4.86e-06	-13.599999999999994
inclusion	N	alternative_first_exon	DNAJC5	chr20:63895324-63928334	+	0.962	0.962	0.962	0.962	0.648	0.648	0.648	30.32	4.86e-06	-31.400000000000006
inclusion	N	alternative_acceptor	PREP	chr6:105281903-105282450	-	0.995	0.995	0.995	0.995	0.866	0.866	0.866	30.3	4.89e-06	-12.900000000000006
inclusion	N	alternative_last_exon	RIPK2	chr8:89758234-89762828	.	0.379	0.379	0.379	0.379	0.038	0.038	0.038	30.27	4.92e-06	-34.1
inclusion	N	alternative_first_exon	SH3KBP1	chrX:19645476-19670861	-	0.256	0.256	0.256	0.256	0.48	0.48	0.48	30.18	5.13e-06	22.4
inclusion	K	intron_retention	BACE1	chr11:117289808-117290487	-	0.143	0.143	0.143	0.143	0.445	0.445	0.445	29.88	5.94e-06	30.200000000000003
inclusion	N	cassette	PFDN5	chr12:53296454-53296551	+	0.435	0.435	0.435	0.435	0.187	0.187	0.187	29.8	6.14e-06	-24.8
inclusion	N	cassette	THOC6	chr16:3026063-3026166	+	0.997	0.997	0.997	0.997	0.893	0.893	0.893	29.78	6.17e-06	-10.400000000000006
inclusion	N	cassette	RHBDD2	chr7:75881365-75881486	+	0.326	0.326	0.326	0.326	0.583	0.583	0.583	29.71	6.38e-06	25.699999999999996
inclusion	N	cassette	MICAL2	chr11:12209497-12209598	+	0.752	0.752	0.752	0.752	0.575	0.575	0.575	29.49	7.06e-06	-17.70000000000001
inclusion	N	cassette	ABI1	chr10:26768852-26768992	-	0.901	0.901	0.901	0.901	0.729	0.729	0.729	29.34	7.59e-06	-17.200000000000017
inclusion	K	alternative_first_exon	FIP1L1	chr4:53440609-53442652	+	0.563	0.563	0.563	0.563	0.316	0.316	0.316	29.28	7.79e-06	-24.699999999999996
inclusion	K	intron_retention	TMED7-TICAM2	chr5:115581316-115616317	-	0.436	0.436	0.436	0.436	0.711	0.711	0.711	29.12	8.38e-06	27.499999999999993
inclusion	K	alternative_last_exon	AHNAK	chr11:62534075-62535002	-	0.815	0.815	0.815	0.815	0.96	0.96	0.96	29.09	8.39e-06	14.5
inclusion	N	alternative_donor	WSB1	chr17:27306883-27309099	+	0.244	0.244	0.244	0.244	0.834	0.834	0.834	29.09	8.39e-06	58.99999999999999
inclusion	N	cassette	ESYT2	chr7:158752781-158752843	-	0.154	0.154	0.154	0.154	0.416	0.416	0.416	29.09	8.39e-06	26.200000000000003
inclusion	K	alternative_acceptor	ANAPC5	chr12:121328498-121330582	-	0.707	0.707	0.707	0.707	0.467	0.467	0.467	28.97	8.84e-06	-24.0
inclusion	K	alternative_first_exon	MFF	chr2:227330847-227332418	+	0.832	0.832	0.832	0.832	0.983	0.983	0.983	28.94	8.88e-06	15.099999999999994
inclusion	K	alternative_first_exon	PCM1	chr8:17972688-17985446	+	0.732	0.732	0.732	0.732	0.28	0.28	0.28	28.94	8.88e-06	-45.2
inclusion	N	intron_retention	AC245041.2	chr10:47974904-47985854	-	0.95	0.95	0.95	0.95	0.571	0.571	0.571	28.91	8.94e-06	-37.900000000000006
inclusion	N	intron_retention	TMEM179B	chr11:62787528-62789125	+	0.606	0.606	0.606	0.606	0.95	0.95	0.95	28.87	9.07e-06	34.4
inclusion	K	alternative_first_exon	ZDHHC16	chr10:97446354-97451670	+	0.898	0.898	0.898	0.898	0.62	0.62	0.62	28.83	9.23e-06	-27.799999999999997
inclusion	K	alternative_acceptor	BRD1	chr22:49787888-49794033	-	0.207	0.207	0.207	0.207	0.524	0.524	0.524	28.8	9.32e-06	31.700000000000006
inclusion	N	alternative_acceptor	SSH3	chr11:67303692-67304117	+	0.761	0.761	0.761	0.761	0.928	0.928	0.928	28.72	9.62e-06	16.700000000000017
inclusion	K	cassette	NPRL3	chr16:117301-117375	-	0.441	0.441	0.441	0.441	0.665	0.665	0.665	28.63	1e-05	22.4
inclusion	N	cassette	OPTN	chr10:13108962-13109015	+	0.09	0.09	0.09	0.09	0.219	0.219	0.219	28.58	1.03e-05	12.899999999999999
inclusion	N	cassette	IDH3G	chrX:153790564-153790575	-	0.86	0.86	0.86	0.86	0.649	0.649	0.649	28.55	1.03e-05	-21.099999999999994
inclusion	K	alternative_first_exon	PLEK2	chr14:67390747-67392661	-	0.468	0.468	0.468	0.468	0.884	0.884	0.884	28.51	1.05e-05	41.6
inclusion	K	cassette	MTRR	chr5:7873373-7873526	+	0.619	0.619	0.619	0.619	0.282	0.282	0.282	28.49	1.06e-05	-33.7
