site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue	chrom	genome_pos	transcript_id	gene_ids	gene_name	mod_ratio_cond1	mod_ratio_cond2	delta_modratio	delta_prob
chr10:71828134	wtdmso	wtcsc	18	53	88	113	0.436106346483705	0.0070340691217676	chr10	71828134	ENST00000394934.4,ENST00000394936.8,flairiso30885-1,flairiso30886-1,flairiso30887-1,flairiso30888-1,flairiso30890-1,flairiso30891-1	ENSG00000197746.14	PSAP	0.16981132075471697	0.3192771084337349	0.14946578767901794	0.2368300780700418
chr10:71831216	wtdmso	wtcsc	30	83	55	54	0.3548740416210296	0.0003150528459503	chr10	71831216	ENST00000394936.8,flairiso30885-1,flairiso30886-1,flairiso30888-1,flairiso30891-1	ENSG00000197746.14	PSAP	0.35294117647058826	0.6058394160583942	0.25289823958780594	0.1769836679474721
chr10:72275926	wtdmso	wtcsc	56	150	57	90	0.5894736842105263	0.0276820007170749	chr10	72275926	ENST00000307365.4,flairiso30912-1,flairiso30915-1,flairiso30917-1,flairiso30919-1,flairiso30923-1,flairiso30927-1,flairiso44606-1	ENSG00000168209.5	DDIT4	0.49557522123893805	0.625	0.12942477876106195	0.1343221549011479
chr10:75219320	wtdmso	wtcsc	4	15	84	64	0.2031746031746031	0.0059578142685399	chr10	75219320	ENST00000332211.10,flairiso30976-1,flairiso30979-1	ENSG00000165637.13	VDAC2	0.045454545454545456	0.189873417721519	0.14441887226697353	0.2990175577054346
chr10:84142696	wtdmso	wtcsc	2	12	33	38	0.1919191919191919	0.036095162752828	chr10	84142696	ENST00000372134.6,flairiso31034-1	ENSG00000165678.21	GHITM	0.05714285714285714	0.24	0.18285714285714286	0.2946908021008346
chr10:95237636	wtdmso	wtcsc	2	16	78	102	0.1634615384615384	0.0100109860026541	chr10	95237636	ENST00000329399.7,ENST00000477757.5-0,flairiso31074-1,flairiso31076-1,flairiso31078-1	ENSG00000107438.9	PDLIM1	0.025	0.13559322033898305	0.11059322033898306	0.1299454713755514
chr10:97432610	wtdmso	wtcsc	7	19	68	67	0.3630030959752321	0.032640681724997	chr10	97432610	ENST00000334828.6,ENST00000467867.1-0,flairiso31091-1,flairiso31092-1	ENSG00000171314.9	PGAM1	0.09333333333333334	0.22093023255813954	0.12759689922480622	0.1653279546261161
chr11:123057592	wtdmso	wtcsc	10	32	54	71	0.4108796296296296	0.0283570297084307	chr11	123057592	ENST00000534624.6,flairiso33049-1,flairiso33050-1,flairiso33051-1,flairiso33053-1,flairiso33057-1	ENSG00000109971.14	HSPA8	0.15625	0.3106796116504854	0.1544296116504854	0.173128367733155
chr11:18396889	wtdmso	wtcsc	5	18	50	43	0.2388888888888889	0.009319067152432	chr11	18396889	ENST00000379412.9-0,ENST00000422447.8,flairiso31751-1	ENSG00000134333.14	LDHA	0.09090909090909091	0.29508196721311475	0.20417287630402384	0.1562610117222417
chr11:18407206	wtdmso	wtcsc	11	27	115	115	0.4074074074074074	0.0217508429259139	chr11	18407206	ENST00000379412.9-0,ENST00000422447.8,flairiso31751-1,flairiso31752-1,flairiso31753-1,flairiso31758-1,flairiso31762-1,flairiso31765-1	ENSG00000134333.14	LDHA	0.0873015873015873	0.19014084507042253	0.10283925776883523	0.2108226734757389
chr11:18407604	wtdmso	wtcsc	15	36	122	103	0.351775956284153	0.0017612518879026	chr11	18407604	ENST00000379412.9-0,ENST00000422447.8,flairiso31751-1,flairiso31752-1,flairiso31753-1,flairiso31758-1,flairiso31762-1,flairiso31765-1	ENSG00000134333.14	LDHA	0.10948905109489052	0.2589928057553957	0.14950375466050517	0.2538705900317226
chr11:18407625	wtdmso	wtcsc	37	60	90	76	0.5207407407407407	0.0149878841482514	chr11	18407625	ENST00000379412.9-0,ENST00000422447.8,flairiso31751-1,flairiso31752-1,flairiso31753-1,flairiso31758-1,flairiso31762-1,flairiso31765-1	ENSG00000134333.14	LDHA	0.29133858267716534	0.4411764705882353	0.14983788791106994	0.1441826471241717
chr11:2395872	wtdmso	wtcsc	1	10	86	67	0.077906976744186	0.0031702571500854	chr11	2395872	ENST00000263645.9	ENSG00000110651.11	CD81	0.011494252873563218	0.12987012987012986	0.11837587699656664	0.1414917346825531
chr11:2396652	wtdmso	wtcsc	7	20	86	62	0.2523255813953488	0.0028836583283477	chr11	2396652	ENST00000263645.9	ENSG00000110651.11	CD81	0.07526881720430108	0.24390243902439024	0.16863362182008917	0.2604999755104811
chr11:2396890	wtdmso	wtcsc	6	14	72	55	0.3273809523809524	0.0312392644969076	chr11	2396890	ENST00000263645.9	ENSG00000110651.11	CD81	0.07692307692307693	0.2028985507246377	0.12597547380156077	0.2000382264070807
chr11:32589565	wtdmso	wtcsc	1	10	30	34	0.1133333333333333	0.0215783892628341	chr11	32589565	ENST00000531120.6	ENSG00000149100.13	EIF3M	0.03225806451612903	0.22727272727272727	0.19501466275659823	0.6130513434531182
chr11:33710163	wtdmso	wtcsc	14	32	83	82	0.4322289156626506	0.0193167605349929	chr11	33710163	ENST00000351554.8-0,ENST00000642928.1,ENST00000651785.1,flairiso31823-1,flairiso31826-1,flairiso31828-1	ENSG00000085063.16	CD59	0.14432989690721648	0.2807017543859649	0.13637185747874842	0.1463750759336362
chr11:33710163	wtdmso	wtcsc	14	32	83	82	0.4322289156626506	0.0193167605349929	chr11	33710163	ENST00000351554.8-0,ENST00000642928.1,ENST00000651785.1,flairiso31823-1,flairiso31826-1,flairiso31828-1	ENSG00000284969.1	AL049629.2	0.14432989690721648	0.2807017543859649	0.13637185747874842	0.1463750759336362
chr11:3827050	wtdmso	wtcsc	9	25	35	36	0.3702857142857143	0.0346382081867388	chr11	3827050	ENST00000351018.5,ENST00000396978.1-0,flairiso31556-1	ENSG00000177105.10	RHOG	0.20454545454545456	0.4098360655737705	0.20529061102831594	0.312402051963172
chr11:3827977	wtdmso	wtcsc	10	29	28	31	0.3817733990147783	0.0356332034177985	chr11	3827977	ENST00000351018.5,ENST00000396978.1-0,flairiso31556-1	ENSG00000177105.10	RHOG	0.2631578947368421	0.48333333333333334	0.22017543859649125	0.2986509725883776
chr11:61965022	wtdmso	wtcsc	162	533	462	816	0.5368290246339027	3.735514684305492e-09	chr11	61965022	ENST00000273550.12,ENST00000526640.5-0,ENST00000532829.5,ENST00000534180.1,ENST00000620041.4,flairiso32044-1,flairiso32045-1,flairiso32046-1,flairiso32047-1,flairiso32049-1,flairiso32050-1,flairiso32051-1,flairiso32052-1,flairiso32053-1,flairiso32055-1,flairiso32056-1,flairiso32057-1,flairiso32058-1,flairiso32060-1,flairiso32061-1,flairiso32062-1,flairiso32063-1,flairiso32065-1,flairiso32066-1,flairiso44655-1,flairiso44656-1,flairiso44657-1	ENSG00000167996.16	FTH1	0.25961538461538464	0.3951074870274277	0.13549210241204307	0.1870658373264137
chr11:62885255	wtdmso	wtcsc	2	19	92	121	0.1384439359267734	0.0020635582377362	chr11	62885255	ENST00000338663.11,ENST00000377889.6,ENST00000377891.6,ENST00000535296.5,flairiso32174-1,flairiso32194-1	ENSG00000168003.16	SLC3A2	0.02127659574468085	0.1357142857142857	0.11443768996960485	0.1389386533105392
chr11:62888209	wtdmso	wtcsc	6	25	82	101	0.2956097560975609	0.0095551473656036	chr11	62888209	ENST00000338663.11,ENST00000377889.6,ENST00000377891.6,ENST00000535296.5,flairiso32174-1,flairiso32194-1	ENSG00000168003.16	SLC3A2	0.06818181818181818	0.1984126984126984	0.13023088023088022	0.1175329689964244
chr11:62888530	wtdmso	wtcsc	16	52	82	113	0.424015009380863	0.0084406752738087	chr11	62888530	ENST00000338663.11,ENST00000377889.6,ENST00000377891.6,ENST00000535296.5,ENST00000536981.5,flairiso32174-1,flairiso32194-1	ENSG00000168003.16	SLC3A2	0.16326530612244897	0.3151515151515151	0.15188620902906616	0.243440897407041
chr11:62888692	wtdmso	wtcsc	9	31	32	42	0.3810483870967742	0.0401978274907571	chr11	62888692	ENST00000338663.11,ENST00000535296.5	ENSG00000168003.16	SLC3A2	0.21951219512195122	0.4246575342465753	0.2051453391246241	0.3820659757093181
chr11:64319791	wtdmso	wtcsc	9	2	57	111	8.763157894736842	0.0023411979696549	chr11	64319791	ENST00000265462.9	ENSG00000126432.14	PRDX5	0.13636363636363635	0.017699115044247787	-0.11866452131938857	-0.1472641229801613
chr11:67071699	wtdmso	wtcsc	9	24	23	20	0.3260869565217391	0.0343176849343113	chr11	67071699	ENST00000308831.7,flairiso32437-1	ENSG00000173156.7	RHOD	0.28125	0.5454545454545454	0.2642045454545454	0.2315555096226721
chr11:67071922	wtdmso	wtcsc	2	13	28	31	0.1703296703296703	0.019157192349149	chr11	67071922	ENST00000308831.7,flairiso32437-1	ENSG00000173156.7	RHOD	0.06666666666666667	0.29545454545454547	0.22878787878787882	0.1835979935293331
chr11:75401681	wtdmso	wtcsc	142	289	357	442	0.6083374526281101	7.438439865645213e-05	chr11	75401681	ENST00000524851.5,ENST00000527446.5,ENST00000530721.5,ENST00000531188.6,flairiso32614-1,flairiso32616-1,flairiso32617-1,flairiso32620-1,flairiso32622-1,flairiso32624-1,flairiso32627-1,flairiso32628-1,flairiso32639-1,flairiso32640-1,flairiso32641-1,flairiso32654-1,flairiso32663-1,flairiso32668-1,flairiso32673-1,flairiso32676-1,flairiso32678-1,flairiso32694-1,flairiso32697-1,flairiso32699-1,flairiso32706-1,flairiso32709-1,flairiso32712-1,flairiso32714-1,flairiso32716-1,flairiso32718-1,flairiso32719-1,flairiso32720-1,flairiso32721-1,flairiso32725-1,flairiso32738-1,flairiso32743-1,flairiso32749-1,flairiso32750-1	ENSG00000149273.15	RPS3	0.2845691382765531	0.3953488372093023	0.1107796989327492	0.1458984503316802
chr11:7995027	wtdmso	wtcsc	9	23	111	104	0.3666274970622796	0.0141074530663162	chr11	7995027	ENST00000531329.5-0,ENST00000651655.1,ENST00000651655.1-0,flairiso31589-1	ENSG00000175390.14	EIF3F	0.075	0.18110236220472442	0.10610236220472442	0.3209754744750442
chr11:7996136	wtdmso	wtcsc	12	27	104	95	0.405982905982906	0.0148474558668793	chr11	7996136	ENST00000531329.5-0,ENST00000651655.1,ENST00000651655.1-0,flairiso31589-1	ENSG00000175390.14	EIF3F	0.10344827586206896	0.22131147540983606	0.1178631995477671	0.169168165729522
chr11:837490	wtdmso	wtcsc	10	43	19	30	0.3671970624235006	0.0300203025853317	chr11	837490	ENST00000322008.9,ENST00000397420.9,ENST00000397421.5	ENSG00000177697.19	CD151	0.3448275862068966	0.589041095890411	0.2442135096835144	0.2554333033174231
chr12:106239169	wtdmso	wtcsc	6	32	5	5	0.1875	0.0358635421152376	chr12	106239169	ENST00000378026.5	ENSG00000136026.14	CKAP4	0.5454545454545454	0.8648648648648649	0.3194103194103195	0.518900727536192
chr12:10699149	wtdmso	wtcsc	13	34	57	65	0.4360165118679051	0.0358383629611639	chr12	10699149	ENST00000228251.9,ENST00000279550.11,flairiso33312-1,flairiso33313-1,flairiso33314-1,flairiso33315-1	ENSG00000060138.13	YBX3	0.18571428571428572	0.3434343434343434	0.1577200577200577	0.2351511261998333
chr12:110436160	wtdmso	wtcsc	7	28	35	47	0.3357142857142857	0.0214634616258018	chr12	110436160	ENST00000228825.12,flairiso34281-1	ENSG00000111229.16	ARPC3	0.16666666666666666	0.37333333333333335	0.2066666666666667	0.1710318030314847
chr12:112406296	wtdmso	wtcsc	37	79	247	262	0.4967970071234561	0.0013074405573171	chr12	112406296	ENST00000202773.13,ENST00000424576.6,flairiso34313-1,flairiso34314-1,flairiso34315-1,flairiso34322-1,flairiso34323-1,flairiso34329-1,flairiso44763-1	ENSG00000089009.15	RPL6	0.13028169014084506	0.2316715542521994	0.10138986411135434	0.1312505317166289
chr12:124913142	wtdmso	wtcsc	29	102	212	347	0.465362560118387	0.0005286154465905	chr12	124913142	ENST00000339647.6,ENST00000535859.1-0,ENST00000541645.1-0,flairiso34500-1,flairiso34503-1,flairiso34507-1	ENSG00000150991.15	UBC	0.12033195020746888	0.22717149220489977	0.10683954199743088	0.1564645423249726
chr12:124913290	wtdmso	wtcsc	51	145	172	273	0.5582598235765838	0.0021732032559831	chr12	124913290	ENST00000339647.6,ENST00000535859.1-0,ENST00000541645.1-0,flairiso34500-1,flairiso34507-1	ENSG00000150991.15	UBC	0.22869955156950672	0.34688995215311	0.1181904005836033	0.2005072162351752
chr12:21635367	wtdmso	wtcsc	6	20	59	71	0.3610169491525424	0.0487930239972752	chr12	21635367	ENST00000350669.5-0,ENST00000396076.5,flairiso33379-1,flairiso33382-1	ENSG00000111716.14	LDHB	0.09230769230769231	0.21978021978021978	0.12747252747252746	0.3010478632691953
chr12:21638404	wtdmso	wtcsc	18	43	46	47	0.4277047522750253	0.0190107836058765	chr12	21638404	ENST00000350669.5-0,ENST00000396076.5,flairiso33379-1,flairiso33382-1	ENSG00000111716.14	LDHB	0.28125	0.4777777777777778	0.1965277777777778	0.1923559802631327
chr12:49764530	wtdmso	wtcsc	24	55	54	59	0.4767676767676768	0.0173666240899321	chr12	49764530	ENST00000267115.10,ENST00000552370.5-0,flairiso33535-1,flairiso33536-1,flairiso44723-1	ENSG00000139644.13	TMBIM6	0.3076923076923077	0.4824561403508772	0.17476383265856948	0.1721439267616635
chr12:52490920	wtdmso	wtcsc	43	157	54	107	0.5426987497051191	0.0121166124792617	chr12	52490920	ENST00000330722.7,flairiso33620-1,flairiso33622-1,flairiso33623-1,flairiso33626-1	ENSG00000205420.11	KRT6A	0.44329896907216493	0.5946969696969697	0.1513980006248048	0.1306560683891083
chr12:52492752	wtdmso	wtcsc	4	37	53	152	0.3100458949515553	0.0258323061082962	chr12	52492752	ENST00000330722.7,flairiso33626-1	ENSG00000205420.11	KRT6A	0.07017543859649122	0.19576719576719576	0.12559175717070453	0.1794927969006319
chr12:52519023	wtdmso	wtcsc	4	25	110	159	0.2312727272727272	0.0042847560097475	chr12	52519023	ENST00000252242.9,ENST00000552629.5	ENSG00000186081.12	KRT5	0.03508771929824561	0.1358695652173913	0.10078184591914569	0.1706150317295387
chr12:52520305	wtdmso	wtcsc	2	21	84	135	0.1530612244897959	0.0049011942389512	chr12	52520305	ENST00000252242.9,ENST00000552629.5	ENSG00000186081.12	KRT5	0.023255813953488372	0.1346153846153846	0.11135957066189624	0.1510377347066046
chr12:52952134	wtdmso	wtcsc	7	42	57	118	0.3450292397660818	0.0122425346498082	chr12	52952134	ENST00000388835.4,ENST00000388837.6,flairiso33646-1	ENSG00000111057.11	KRT18	0.109375	0.2625	0.153125	0.1014440692234451
chr12:53041222	wtdmso	wtcsc	3	16	25	32	0.24	0.0313323999314451	chr12	53041222	ENST00000262056.13,flairiso44733-1,flairiso44734-1	ENSG00000063046.17	EIF4B	0.10714285714285714	0.3333333333333333	0.22619047619047616	0.1290589265331607
chr12:53041596	wtdmso	wtcsc	1	9	39	48	0.1367521367521367	0.0431134558882472	chr12	53041596	ENST00000262056.13,flairiso44733-1,flairiso44734-1	ENSG00000063046.17	EIF4B	0.025	0.15789473684210525	0.13289473684210526	0.195737311417924
chr12:53468813	wtdmso	wtcsc	33	79	98	99	0.4219839834668044	0.0005263346717992	chr12	53468813	ENST00000359282.9,ENST00000359462.9,ENST00000437231.5,ENST00000447282.5,ENST00000546463.5-0,flairiso33707-1,flairiso33709-1,flairiso44737-1,flairiso44739-1,flairiso44740-1	ENSG00000197111.15	PCBP2	0.25190839694656486	0.4438202247191011	0.19191182777253624	0.2177954226110818
chr12:54284711	wtdmso	wtcsc	29	74	48	52	0.4245495495495495	0.0039566553317882	chr12	54284711	ENST00000340913.10,ENST00000546500.5,flairiso33779-1,flairiso33783-1,flairiso33787-1	ENSG00000135486.17	HNRNPA1	0.37662337662337664	0.5873015873015873	0.2106782106782107	0.1667844806799021
chr12:56638214	wtdmso	wtcsc	53	73	72	54	0.5445205479452054	0.0231488739918451	chr12	56638214	ENST00000262030.8,flairiso33918-1,flairiso33920-1,flairiso33921-1,flairiso33922-1,flairiso33927-1,flairiso33928-1	ENSG00000110955.9	ATP5F1B	0.424	0.5748031496062992	0.1508031496062992	0.119945889296464
chr12:57234516	wtdmso	wtcsc	4	18	40	45	0.25	0.0156876669736254	chr12	57234516	ENST00000328923.8,ENST00000414700.7,ENST00000556825.5,flairiso33983-1	ENSG00000182199.11	SHMT2	0.09090909090909091	0.2857142857142857	0.1948051948051948	0.1649236663559382
chr12:6235479	wtdmso	wtcsc	12	19	38	22	0.3656509695290859	0.0288391567597067	chr12	6235479	ENST00000009180.10,ENST00000610354.4	ENSG00000010278.14	CD9	0.24	0.4634146341463415	0.2234146341463415	0.1693035070517678
chr12:6390777	wtdmso	wtcsc	5	17	28	29	0.3046218487394957	0.0426877036871659	chr12	6390777	ENST00000228918.9,flairiso33206-1	ENSG00000111321.11	LTBR	0.15151515151515152	0.3695652173913043	0.2180500658761528	0.2171776274227203
chr12:6870794	wtdmso	wtcsc	15	39	124	136	0.4218362282878412	0.010022919477277	chr12	6870794	ENST00000229270.8-0,ENST00000488464.6-0,ENST00000535434.5,flairiso33255-1,flairiso33261-1,flairiso33263-1,flairiso33264-1,flairiso33267-1,flairiso33269-1	ENSG00000111669.15	TPI1	0.1079136690647482	0.22285714285714286	0.11494347379239467	0.141000508051427
chr12:6965529	wtdmso	wtcsc	5	18	37	41	0.3078078078078078	0.0320907908824327	chr12	6965529	ENST00000399433.6,ENST00000535923.6	ENSG00000215021.9	PHB2	0.11904761904761904	0.3050847457627119	0.18603712671509284	0.432348177968352
chr12:98601380	wtdmso	wtcsc	18	45	115	142	0.4939130434782608	0.022377919954385	chr12	98601380	ENST00000188376.9,ENST00000401722.7,ENST00000546766.5,ENST00000549338.5,ENST00000552981.5,flairiso34186-1,flairiso34188-1,flairiso34189-1	ENSG00000075415.12	SLC25A3	0.13533834586466165	0.24064171122994651	0.10530336536528487	0.1917391708178216
chr13:113306580	wtdmso	wtcsc	2	8	8	4	0.125	0.042731262545504	chr13	113306580	ENST00000332556.5	ENSG00000185896.11	LAMP1	0.2	0.6666666666666666	0.4666666666666666	0.157626052532271
chr13:21177296	wtdmso	wtcsc	15	27	22	14	0.3535353535353535	0.040101444691267	chr13	21177296	ENST00000309594.5	ENSG00000173141.5	MRPL57	0.40540540540540543	0.6585365853658537	0.25313117996044826	0.2010197844636875
chr14:21210621	wtdmso	wtcsc	2	7	14	6	0.1224489795918367	0.0405368744199328	chr14	21210621	ENST00000553300.5-0,ENST00000554969.5,ENST00000557201.5-0	ENSG00000092199.17	HNRNPC	0.125	0.5384615384615384	0.41346153846153844	0.1576147061424022
chr14:35401726	wtdmso	wtcsc	5	1	24	41	8.541666666666666	0.0381424953263358	chr14	35401726	ENST00000216797.9	ENSG00000100906.10	NFKBIA	0.1724137931034483	0.023809523809523808	-0.14860426929392448	-0.2657741521433977
chr14:35401832	wtdmso	wtcsc	13	9	14	31	3.1984126984126986	0.0362517556527554	chr14	35401832	ENST00000216797.9	ENSG00000100906.10	NFKBIA	0.48148148148148145	0.225	-0.2564814814814814	-0.2357207244294396
chr14:49618828	wtdmso	wtcsc	14	36	21	19	0.3518518518518518	0.0289282495618355	chr14	49618828	ENST00000298289.7,flairiso35321-1	ENSG00000165502.7	RPL36AL	0.4	0.6545454545454545	0.2545454545454545	0.1277837691977965
chr14:49618877	wtdmso	wtcsc	1	14	32	42	0.09375	0.0075900254505038	chr14	49618877	ENST00000298289.7,flairiso35321-1	ENSG00000165502.7	RPL36AL	0.030303030303030304	0.25	0.2196969696969697	0.3409035133030543
chr14:54427497	wtdmso	wtcsc	4	22	21	34	0.2943722943722944	0.0430379298447994	chr14	54427497	ENST00000216416.9	ENSG00000100528.12	CNIH1	0.16	0.39285714285714285	0.23285714285714285	0.4701777755634525
chr14:55145216	wtdmso	wtcsc	3	13	32	35	0.2524038461538461	0.0482601585097663	chr14	55145216	ENST00000254301.14,flairiso35384-1	ENSG00000131981.16	LGALS3	0.08571428571428572	0.2708333333333333	0.1851190476190476	0.1499380006603096
chr14:68793025	wtdmso	wtcsc	9	3	4	10	7.5	0.0471799703863238	chr14	68793025	ENST00000439696.3	ENSG00000185650.10	ZFP36L1	0.6923076923076923	0.23076923076923078	-0.4615384615384615	-0.1491566624721836
chr14:68902550	wtdmso	wtcsc	1	8	12	4	0.0416666666666666	0.0036074841836047	chr14	68902550	ENST00000193403.10	ENSG00000072110.13	ACTN1	0.07692307692307693	0.6666666666666666	0.5897435897435896	0.2756433390267393
chr14:74493197	wtdmso	wtcsc	1	12	39	54	0.1153846153846153	0.0164322385273206	chr14	74493197	ENST00000555619.5,flairiso35576-1	ENSG00000119655.10	NPC2	0.025	0.18181818181818182	0.15681818181818183	0.193521080732689
chr15:34341955	wtdmso	wtcsc	2	13	22	28	0.1958041958041958	0.0362910119162107	chr15	34341955	ENST00000328848.5	ENSG00000182117.5	NOP10	0.08333333333333333	0.3170731707317073	0.233739837398374	0.2837862024406034
chr15:43771511	wtdmso	wtcsc	8	39	70	80	0.2344322344322344	0.0002783792153189	chr15	43771511	ENST00000300289.10,flairiso35907-1	ENSG00000167004.13	PDIA3	0.10256410256410256	0.3277310924369748	0.22516698987287223	0.239701440632141
chr15:44717884	wtdmso	wtcsc	21	39	125	116	0.4996923076923077	0.0212270662799085	chr15	44717884	ENST00000557901.5-0,ENST00000559907.5-0,ENST00000648006.2,flairiso35928-1	ENSG00000166710.20	B2M	0.14383561643835616	0.25161290322580643	0.10777728678745027	0.1387777385960637
chr15:64155918	wtdmso	wtcsc	6	30	53	96	0.3622641509433962	0.0297382426026234	chr15	64155918	ENST00000300026.3	ENSG00000166794.4	PPIB	0.1016949152542373	0.23809523809523808	0.1364003228410008	0.2256899269576284
chr15:90228629	wtdmso	wtcsc	4	7	26	9	0.1978021978021978	0.0319032025141981	chr15	90228629	ENST00000332496.10,ENST00000411539.6,ENST00000411539.6-0	ENSG00000185033.14	SEMA4B	0.13333333333333333	0.4375	0.3041666666666667	-0.1717203077011304
chr16:1314344	wtdmso	wtcsc	1	14	10	12	0.0857142857142857	0.0136009529126063	chr16	1314344	ENST00000397514.8	ENSG00000103275.20	UBE2I	0.09090909090909091	0.5384615384615384	0.4475524475524475	0.4955063325477685
chr16:1349440	wtdmso	wtcsc	3	11	11	3	0.0743801652892562	0.0070282127598051	chr16	1349440	ENST00000007390.3	ENSG00000007520.4	TSR3	0.21428571428571427	0.7857142857142857	0.5714285714285714	0.1770455322568626
chr16:30067500	wtdmso	wtcsc	166	177	194	323	1.561477080785136	0.001880398626114	chr16	30067500	ENST00000338110.10,ENST00000395240.7,ENST00000412304.6,ENST00000563060.6,ENST00000642816.2,ENST00000643777.2,flairiso36981-1,flairiso36982-1,flairiso36983-1,flairiso36984-1,flairiso36986-1,flairiso36989-1,flairiso37000-1,flairiso44897-1,flairiso44898-1,flairiso44899-1	ENSG00000149925.20	ALDOA	0.46111111111111114	0.354	-0.10711111111111116	-0.1112155709021118
chr16:30067500	wtdmso	wtcsc	166	177	194	323	1.561477080785136	0.001880398626114	chr16	30067500	ENST00000338110.10,ENST00000395240.7,ENST00000412304.6,ENST00000563060.6,ENST00000642816.2,ENST00000643777.2,flairiso36981-1,flairiso36982-1,flairiso36983-1,flairiso36984-1,flairiso36986-1,flairiso36989-1,flairiso37000-1,flairiso44897-1,flairiso44898-1,flairiso44899-1	ENSG00000285043.1	AC093512.2	0.46111111111111114	0.354	-0.10711111111111116	-0.1112155709021118
chr16:3021271	wtdmso	wtcsc	12	44	86	150	0.4756871035940803	0.0401742497668528	chr16	3021271	ENST00000326577.8,flairiso36770-1,flairiso36778-1	ENSG00000006327.13	TNFRSF12A	0.12244897959183673	0.2268041237113402	0.10435514411950347	0.1579796059952388
chr16:3021989	wtdmso	wtcsc	32	24	116	251	2.885057471264368	0.0002829463038069	chr16	3021989	ENST00000326577.8,flairiso36770-1,flairiso36771-1,flairiso36772-1,flairiso36777-1,flairiso36778-1	ENSG00000006327.13	TNFRSF12A	0.21621621621621623	0.08727272727272728	-0.12894348894348895	-0.2878655223014069
chr16:56627083	wtdmso	wtcsc	33	75	102	129	0.5564705882352942	0.0176882641833183	chr16	56627083	ENST00000306061.10	ENSG00000125148.7	MT2A	0.24444444444444444	0.36764705882352944	0.123202614379085	0.1064370183834385
chr16:56627083	wtdmso	wtcsc	33	75	102	129	0.5564705882352942	0.0176882641833183	chr16	56627083	ENST00000306061.10	ENSG00000169715.15	MT1E	0.24444444444444444	0.36764705882352944	0.123202614379085	0.1064370183834385
