inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	M1D2.S28_mtdmso_b1	M1D3.S36_mtdmso_b1	M2D2.S26_mtdmso_b1	lr	padj	dpsi
inclusion	K	cassette	CSNK1G3	chr5:123605339-123605362	+	0.499	0.499	0.499	0.499	0.096	0.096	0.096	83.3	1.22e-16	-40.3
inclusion	K	alternative_last_exon	GNAS	chr20:58895685-58898940	+	0.117	0.117	0.117	0.117	0.282	0.282	0.282	81.42	2.89e-16	16.499999999999993
inclusion	K	intron_retention	RPL27A	chr11:8684082-8684822	+	0.87	0.87	0.87	0.87	0.649	0.649	0.649	79.79	5.65e-16	-22.099999999999994
inclusion	N	alternative_last_exon	MACROH2A1	chr5:135353046-135360496	-	0.62	0.62	0.62	0.62	0.857	0.857	0.857	79.84	5.65e-16	23.700000000000003
inclusion	K	cassette	SMARCA1	chrX:129493040-129493075	-	0.966	0.966	0.966	0.966	0.445	0.445	0.445	79.03	7.78e-16	-52.099999999999994
inclusion	K	alternative_last_exon	ZFAND1	chr8:81717289-81718181	-	0.351	0.351	0.351	0.351	0.782	0.782	0.782	75.17	5.12e-15	43.10000000000001
inclusion	N	alternative_donor	RPL7A	chr9:133350636-133350656	+	0.839	0.839	0.839	0.839	0.296	0.296	0.296	68.11	1.73e-13	-54.3
inclusion	N	intron_retention	RPL7A	chr9:133350320-133350656	+	0.817	0.817	0.817	0.817	0.273	0.273	0.273	67.21	2.58e-13	-54.39999999999999
inclusion	K	intron_retention	TNIP1	chr5:151030674-151032286	-	0.722	0.722	0.722	0.722	0.413	0.413	0.413	65.59	5.57e-13	-30.900000000000006
inclusion	K	intron_retention	SNHG29	chr17:16439415-16439659	+	0.255	0.255	0.255	0.255	0.08	0.08	0.08	63.93	1.22e-12	-17.5
inclusion	K	alternative_acceptor	RPL27A	chr11:8684082-8684717	+	0.992	0.992	0.992	0.992	0.973	0.973	0.973	63.05	1.83e-12	-1.9000000000000057
inclusion	K	alternative_acceptor	RNF181	chr2:85596650-85596821	+	0.803	0.803	0.803	0.803	0.969	0.969	0.969	62.61	2.17e-12	16.59999999999998
inclusion	N	cassette	PLEK2	chr14:67398007-67398055	-	0.188	0.188	0.188	0.188	0.031	0.031	0.031	62.06	2.76e-12	-15.700000000000001
inclusion	K	alternative_first_exon	SREBF1	chr17:17820522-17823517	-	0.124	0.124	0.124	0.124	0.482	0.482	0.482	59.81	8.28e-12	35.8
inclusion	K	intron_retention	COL17A1	chr10:104031594-104032203	-	0.636	0.636	0.636	0.636	0.819	0.819	0.819	59.22	1.07e-11	18.29999999999999
inclusion	N	cassette	IDH3G	chrX:153790564-153790575	-	0.862	0.862	0.862	0.862	0.598	0.598	0.598	58.87	1.23e-11	-26.400000000000006
inclusion	N	alternative_donor	RPLP1	chr15:69453021-69455169	+	0.065	0.065	0.065	0.065	0.168	0.168	0.168	58.41	1.5e-11	10.3
inclusion	N	cassette	CIZ1	chr9:128187863-128187934	-	0.769	0.769	0.769	0.769	0.951	0.951	0.951	58.19	1.62e-11	18.19999999999999
inclusion	N	cassette	SEC31A	chr4:82862534-82862572	-	0.437	0.437	0.437	0.437	0.727	0.727	0.727	57.9	1.81e-11	29.0
inclusion	K	alternative_first_exon	ZFAND1	chr8:81718225-81721248,chr8:81718225-81721226	-	0.445	0.445	0.445	0.445	0.851	0.851	0.851	56.9	2.91e-11	40.599999999999994
inclusion	N	alternative_acceptor	ILK	chr11:6603823-6604225	+	0.539	0.539	0.539	0.539	0.792	0.792	0.792	56.81	2.94e-11	25.299999999999997
inclusion	K	cassette	SPTAN1	chr9:128609651-128609665	+	0.18	0.18	0.18	0.18	0.036	0.036	0.036	56.72	2.99e-11	-14.4
inclusion	K	alternative_acceptor	RPLP1	chr15:69453021-69453646	+	0.937	0.937	0.937	0.937	0.837	0.837	0.837	56.28	3.63e-11	-10.0
inclusion	N	alternative_acceptor	CTNNB1	chr3:41239355-41239818	+	0.363	0.363	0.363	0.363	0.103	0.103	0.103	55.77	4.56e-11	-26.0
inclusion	K	intron_retention	PLD3	chr19:40348769-40365717	+	0.832	0.832	0.832	0.832	0.596	0.596	0.596	55.38	5.41e-11	-23.60000000000001
inclusion	N	alternative_acceptor	TNIP1	chr5:151030674-151032286	-	0.096	0.096	0.096	0.096	0.279	0.279	0.279	55.28	5.51e-11	18.300000000000004
inclusion	K	alternative_last_exon	C19orf12	chr19:29708424-29715124	-	0.169	0.169	0.169	0.169	0.85	0.85	0.85	54.22	9.22e-11	68.1
inclusion	K	alternative_acceptor	CDV3	chr3:133586723-133587158	+	0.343	0.343	0.343	0.343	0.602	0.602	0.602	54.01	1e-10	25.89999999999999
inclusion	K	alternative_first_exon	DMKN	chr19:35505766-35505938	-	0.866	0.866	0.866	0.866	0.578	0.578	0.578	53.94	1.01e-10	-28.799999999999997
inclusion	N	cassette	GTF2IRD1	chr7:74544755-74544802	+	0.976	0.976	0.976	0.976	0.818	0.818	0.818	50.88	4.68e-10	-15.799999999999997
inclusion	K	alternative_first_exon	DYRK4	chr12:4607388-4610154	+	0.434	0.434	0.434	0.434	0.833	0.833	0.833	50.71	4.98e-10	39.9
inclusion	K	cassette	SH3YL1	chr2:224864-224920	-	0.282	0.282	0.282	0.282	0.584	0.584	0.584	50.57	5.2e-10	30.200000000000003
inclusion	K	cassette	AP1G2	chr14:23566562-23566686	-	0.929	0.929	0.929	0.929	0.663	0.663	0.663	49.5	8.78e-10	-26.60000000000001
inclusion	K	intron_retention	MIR205HG	chr1:209429089-209429180	+	0.215	0.215	0.215	0.215	0.448	0.448	0.448	49.13	1.03e-09	23.300000000000004
inclusion	K	cassette	ITPA	chr20:3213319-3213426	+	0.748	0.748	0.748	0.748	0.94	0.94	0.94	49.08	1.04e-09	19.200000000000003
inclusion	K	alternative_last_exon	DYRK4	chr12:4605087-4607326	+	0.609	0.609	0.609	0.609	0.912	0.912	0.912	48.53	1.35e-09	30.300000000000004
inclusion	K	cassette	ISCU	chr12:108564060-108564155	+	0.191	0.191	0.191	0.191	0.042	0.042	0.042	48.03	1.7e-09	-14.900000000000002
inclusion	N	intron_retention	nogene	chr1:183240392-183258108	+	0.263	0.263	0.263	0.263	0.071	0.071	0.071	47.92	1.76e-09	-19.200000000000003
inclusion	N	cassette	C12orf29	chr12:88040148-88040265	+	0.368	0.368	0.368	0.368	0.812	0.812	0.812	47.63	2e-09	44.400000000000006
inclusion	K	alternative_acceptor	ALS2CL	chr3:46675977-46676244	-	0.482	0.482	0.482	0.482	0.115	0.115	0.115	47.21	2.42e-09	-36.699999999999996
inclusion	N	alternative_first_exon	FN1	chr2:215372016-215373321	-	0.063	0.063	0.063	0.063	0.146	0.146	0.146	47.17	2.42e-09	8.3
inclusion	N	cassette	P3H4	chr17:41803287-41803431	-	0.988	0.988	0.988	0.988	0.844	0.844	0.844	46.97	2.64e-09	-14.400000000000006
inclusion	K	cassette	RUFY1	chr5:179580947-179581012	+	0.825	0.825	0.825	0.825	0.972	0.972	0.972	46.58	3.15e-09	14.700000000000003
inclusion	K	intron_retention	FTSJ1	chrX:48482795-48482985	+	0.156	0.156	0.156	0.156	0.356	0.356	0.356	46.37	3.44e-09	20.0
inclusion	N	cassette	THOC6	chr16:3026063-3026166	+	0.997	0.997	0.997	0.997	0.835	0.835	0.835	45.56	5.12e-09	-16.200000000000003
inclusion	K	coord_cassette	UBA2	chr19:34430093-34430186	+	0.824	0.824	0.824	0.824	0.331	0.331	0.331	45.35	5.59e-09	-49.29999999999999
inclusion	K	alternative_last_exon	PRRC2C	chr1:171588506-171591151	+	0.737	0.737	0.737	0.737	0.403	0.403	0.403	45.24	5.83e-09	-33.4
inclusion	N	alternative_first_exon	GNAS	chr20:58898986-58903530	+	0.133	0.133	0.133	0.133	0.308	0.308	0.308	44.78	7.18e-09	17.5
inclusion	N	cassette	SH3YL1	chr2:224868-224920	-	0.166	0.166	0.166	0.166	0.429	0.429	0.429	44.73	7.18e-09	26.299999999999997
inclusion	N	cassette	SSBP4	chr19:18431353-18431418	+	0.437	0.437	0.437	0.437	0.156	0.156	0.156	44.75	7.18e-09	-28.1
inclusion	K	alternative_acceptor	SYTL1	chr1:27348013-27349079	+	0.859	0.859	0.859	0.859	0.572	0.572	0.572	43.67	1.21e-08	-28.70000000000001
inclusion	N	alternative_acceptor	TCF3	chr19:1609600-1611703	-	0.236	0.236	0.236	0.236	0.044	0.044	0.044	43.56	1.26e-08	-19.2
inclusion	N	alternative_first_exon	KRT6C	chr12:52472281-52473197	-	0.967	0.967	0.967	0.967	0.223	0.223	0.223	43.23	1.47e-08	-74.4
inclusion	K	cassette	TPD52L1	chr6:125257098-125257158	+	0.373	0.373	0.373	0.373	0.174	0.174	0.174	43.08	1.56e-08	-19.9
inclusion	K	cassette	PPP6R2	chr22:50436988-50437068	+	0.764	0.764	0.764	0.764	0.466	0.466	0.466	42.96	1.63e-08	-29.800000000000004
inclusion	N	cassette	HNRNPC	chr14:21263311-21263336	-	0.652	0.652	0.652	0.652	0.823	0.823	0.823	42.73	1.81e-08	17.099999999999994
inclusion	N	alternative_last_exon	LAMC2	chr1:183240392-183243556,chr1:183240392-183243146	+	0.931	0.931	0.931	0.931	0.793	0.793	0.793	42.63	1.88e-08	-13.800000000000011
inclusion	N	alternative_acceptor	GRB2	chr17:75320512-75321658	-	0.092	0.092	0.092	0.092	0.818	0.818	0.818	42.49	1.99e-08	72.6
inclusion	N	cassette	PCBP2	chr12:53467805-53467843	+	0.661	0.661	0.661	0.661	0.805	0.805	0.805	42.3	2.13e-08	14.399999999999991
inclusion	N	cassette	UBA2	chr19:34430576-34430659	+	0.962	0.962	0.962	0.962	0.757	0.757	0.757	42.32	2.13e-08	-20.5
inclusion	K	alternative_last_exon	INO80E	chr16:30001041-30001464,chr16:30001041-30001413,chr16:30001041-30001211	+	0.752	0.752	0.752	0.752	0.951	0.951	0.951	41.99	2.46e-08	19.89999999999999
inclusion	N	intron_retention	DELE1	chr5:141938761-141938851	+	0.672	0.672	0.672	0.672	0.242	0.242	0.242	41.77	2.71e-08	-43.0
inclusion	K	intron_retention	DELE1	chr5:141938905-141939505	+	0.762	0.762	0.762	0.762	0.303	0.303	0.303	41.67	2.81e-08	-45.900000000000006
inclusion	N	cassette	MICAL2	chr11:12249184-12249246	+	0.198	0.198	0.198	0.198	0.398	0.398	0.398	41.5	3.03e-08	20.000000000000004
inclusion	N	cassette	MAPK13	chr6:36136019-36136048	+	0.919	0.919	0.919	0.919	0.754	0.754	0.754	41.18	3.51e-08	-16.5
inclusion	K	intron_retention	ALS2CL	chr3:46675687-46676244	-	0.405	0.405	0.405	0.405	0.104	0.104	0.104	41.12	3.54e-08	-30.1
inclusion	N	alternative_acceptor	PREP	chr6:105281903-105282450	-	0.996	0.996	0.996	0.996	0.845	0.845	0.845	41.13	3.54e-08	-15.099999999999994
inclusion	N	alternative_last_exon	RAB34	chr17:28716995-28717212	-	0.609	0.609	0.609	0.609	0.895	0.895	0.895	40.8	4.11e-08	28.6
inclusion	N	cassette	DTYMK	chr2:241680229-241680319	-	0.61	0.61	0.61	0.61	0.858	0.858	0.858	40.67	4.34e-08	24.799999999999997
inclusion	N	alternative_last_exon	LTO1	chr11:69667588-69667894	-	0.29	0.29	0.29	0.29	0.604	0.604	0.604	40.54	4.58e-08	31.400000000000002
inclusion	N	alternative_last_exon	RABGGTB	chr1:75791572-75792180	+	0.917	0.917	0.917	0.917	0.711	0.711	0.711	40.32	5.06e-08	-20.60000000000001
inclusion	K	alternative_acceptor	WSB1	chr17:27306883-27307743	+	0.742	0.742	0.742	0.742	0.103	0.103	0.103	40.3	5.06e-08	-63.900000000000006
inclusion	K	alternative_first_exon	ARAP1	chr11:72714322-72721849	-	0.684	0.684	0.684	0.684	0.882	0.882	0.882	40.13	5.44e-08	19.799999999999997
inclusion	N	alternative_last_exon	ATP6V1G2	chr6:31545582-31546108	-	0.173	0.173	0.173	0.173	0.804	0.804	0.804	40	5.71e-08	63.10000000000001
inclusion	N	cassette	ABI1	chr10:26768852-26768992	-	0.901	0.901	0.901	0.901	0.68	0.68	0.68	39.99	5.71e-08	-22.10000000000001
inclusion	N	cassette	DIS3	chr13:72781289-72781356	-	0.539	0.539	0.539	0.539	0.02	0.02	0.02	39.8	6.22e-08	-51.900000000000006
inclusion	K	alternative_acceptor	PXN	chr12:120215418-120215559	-	0.647	0.647	0.647	0.647	0.39	0.39	0.39	39.35	7.77e-08	-25.700000000000003
inclusion	K	mutually_exclusive	DIS3	chr13:72778381-72780845,chr13:72781004-72781604	-	0.472	0.472	0.472	0.472	0.983	0.983	0.983	39.05	8.94e-08	51.1
inclusion	K	cassette	TPD52L1	chr6:125253717-125253755	+	0.267	0.267	0.267	0.267	0.1	0.1	0.1	38.67	1.07e-07	-16.700000000000003
inclusion	K	intron_retention	TMED7-TICAM2	chr5:115581316-115616317	-	0.436	0.436	0.436	0.436	0.756	0.756	0.756	38.21	1.34e-07	31.999999999999993
inclusion	K	cassette	PXDN	chr2:1687632-1687703	-	0.624	0.624	0.624	0.624	0.875	0.875	0.875	38.03	1.46e-07	25.1
inclusion	K	alternative_first_exon	SLC37A2	chr11:125083425-125083814	+	0.081	0.081	0.081	0.081	0.309	0.309	0.309	37.85	1.57e-07	22.799999999999997
inclusion	K	coord_cassette	OPTN	chr10:13108138-13108289	+	0.093	0.093	0.093	0.093	0.249	0.249	0.249	37.84	1.57e-07	15.599999999999998
inclusion	K	intron_retention	TMSB10	chr2:84905719-84906002	+	0.014	0.014	0.014	0.014	0.004	0.004	0.004	37.8	1.58e-07	-1.0
inclusion	N	alternative_first_exon	DNAJC5	chr20:63895324-63928334	+	0.962	0.962	0.962	0.962	0.595	0.595	0.595	37.74	1.62e-07	-36.7
inclusion	K	cassette	CRELD1	chr3:9943902-9944095	+	0.348	0.348	0.348	0.348	0.116	0.116	0.116	37.58	1.73e-07	-23.199999999999996
inclusion	K	cassette	FXR1	chr3:180975313-180975404	+	0.298	0.298	0.298	0.298	0.572	0.572	0.572	37.57	1.73e-07	27.4
inclusion	K	alternative_acceptor	GTF3C2	chr2:27326894-27327176	-	0.772	0.772	0.772	0.772	0.982	0.982	0.982	37.35	1.91e-07	21.0
inclusion	K	alternative_last_exon	PDHA1	chrX:19353174-19354490	+	0.979	0.979	0.979	0.979	0.866	0.866	0.866	37.33	1.92e-07	-11.299999999999997
inclusion	K	alternative_last_exon	BCL7C	chr16:30887991-30888859	-	0.765	0.765	0.765	0.765	0.917	0.917	0.917	37.08	2.13e-07	15.200000000000003
inclusion	K	intron_retention	CDV3	chr3:133586723-133587895	+	0.192	0.192	0.192	0.192	0.433	0.433	0.433	37.1	2.13e-07	24.099999999999998
inclusion	K	intron_retention	TCF3	chr19:1609600-1611703	-	0.843	0.843	0.843	0.843	0.967	0.967	0.967	36.55	2.78e-07	12.400000000000006
inclusion	N	alternative_last_exon	HMGCL	chr1:23808216-23816674,chr1:23808324-23816674	-	0.265	0.265	0.265	0.265	0.062	0.062	0.062	36.51	2.81e-07	-20.3
inclusion	N	intron_retention	TRABD2A	chr2:84905725-84906007	.	0.914	0.914	0.914	0.914	0.72	0.72	0.72	36.41	2.92e-07	-19.400000000000006
inclusion	K	cassette	KDM4B	chr19:5119118-5119219	+	0.825	0.825	0.825	0.825	0.511	0.511	0.511	36.39	2.93e-07	-31.4
inclusion	N	alternative_donor	WSB1	chr17:27306883-27309099	+	0.243	0.243	0.243	0.243	0.915	0.915	0.915	36.36	2.94e-07	67.2
inclusion	K	mutually_exclusive	MTHFSD	chr16:86548578-86552032,chr16:86552147-86554644	-	0.697	0.697	0.697	0.697	0.239	0.239	0.239	36.31	2.99e-07	-45.79999999999999
inclusion	K	alternative_acceptor	HIPK2	chr7:139614494-139620400	-	0.591	0.591	0.591	0.591	0.278	0.278	0.278	36.2	3.13e-07	-31.29999999999999
inclusion	N	cassette	TFDP1	chr13:113631623-113631744	+	0.901	0.901	0.901	0.901	0.711	0.711	0.711	35.94	3.56e-07	-19.000000000000014
inclusion	N	cassette	GAS6	chr13:113846527-113846589	-	0.837	0.837	0.837	0.837	0.985	0.985	0.985	35.77	3.83e-07	14.799999999999997
inclusion	N	alternative_acceptor	AL035458.2	chr20:34235031-34281026	-	0.781	0.781	0.781	0.781	0.397	0.397	0.397	35.73	3.88e-07	-38.400000000000006
inclusion	K	alternative_last_exon	ITGA6	chr2:172498101-172501771	+	0.945	0.945	0.945	0.945	0.809	0.809	0.809	35.71	3.88e-07	-13.599999999999994
inclusion	K	cassette	DDX50	chr10:68934199-68934360	+	0.95	0.95	0.95	0.95	0.642	0.642	0.642	35.62	4.03e-07	-30.799999999999997
inclusion	K	coord_cassette	ITSN1	chr21:33823487-33823653	+	0.562	0.562	0.562	0.562	0.895	0.895	0.895	35.55	4.14e-07	33.3
inclusion	N	cassette	PPIA	chr7:44798748-44798814	+	0.027	0.027	0.027	0.027	0.007	0.007	0.007	35.36	4.54e-07	-2.0
inclusion	K	intron_retention	SNHG1	chr11:62852437-62852655	-	0.801	0.801	0.801	0.801	0.938	0.938	0.938	35.28	4.68e-07	13.699999999999989
inclusion	K	intron_retention	ARRDC1	chr9:137615001-137615073	+	0.571	0.571	0.571	0.571	0.313	0.313	0.313	35.25	4.72e-07	-25.799999999999994
inclusion	N	cassette	SAT1	chrX:23784294-23784403	+	0.071	0.071	0.071	0.071	0.018	0.018	0.018	34.89	5.63e-07	-5.3
inclusion	N	mutually_exclusive	CAMLG	chr5:134738793-134741062,chr5:134741524-134750758	+	0.461	0.461	0.461	0.461	0.019	0.019	0.019	34.76	5.96e-07	-44.2
inclusion	K	alternative_first_exon	ZDHHC16	chr10:97446354-97451670	+	0.899	0.899	0.899	0.899	0.618	0.618	0.618	34.64	6.3e-07	-28.10000000000001
inclusion	N	cassette	PLD3	chr19:40365553-40365585	+	0.637	0.637	0.637	0.637	0.406	0.406	0.406	34.4	7.06e-07	-23.1
inclusion	N	alternative_donor	MSL1	chr17:40129862-40131536	+	0.324	0.324	0.324	0.324	0.617	0.617	0.617	34.25	7.56e-07	29.300000000000004
inclusion	K	intron_retention	ILK	chr11:6603823-6604225	+	0.276	0.276	0.276	0.276	0.101	0.101	0.101	34.14	7.92e-07	-17.5
inclusion	N	cassette	ITPA	chr20:3213319-3213383	+	0.859	0.859	0.859	0.859	0.968	0.968	0.968	33.48	1.1e-06	10.899999999999991
inclusion	N	cassette	POLB	chr8:42354417-42354521	+	0.12	0.12	0.12	0.12	0.411	0.411	0.411	33.24	1.24e-06	29.099999999999994
inclusion	K	cassette	IL17RE	chr3:9903397-9903412	+	0.621	0.621	0.621	0.621	0.31	0.31	0.31	33.09	1.33e-06	-31.1
inclusion	K	alternative_last_exon	TMBIM4	chr12:66161173-66169854	-	0.149	0.149	0.149	0.149	0.369	0.369	0.369	32.92	1.44e-06	22.0
inclusion	N	alternative_acceptor	DAB2IP	chr9:121770725-121772606	+	0.704	0.704	0.704	0.704	0.466	0.466	0.466	32.9	1.44e-06	-23.79999999999999
inclusion	K	cassette	RBM3	chrX:48575815-48576083	+	0.083	0.083	0.083	0.083	0.014	0.014	0.014	32.85	1.47e-06	-6.9
inclusion	N	alternative_acceptor	SNX27	chr1:151693484-151694369	+	0.504	0.504	0.504	0.504	0.871	0.871	0.871	32.7	1.57e-06	36.699999999999996
inclusion	K	cassette	ALDH4A1	chr1:18886464-18886511	-	0.703	0.703	0.703	0.703	0.961	0.961	0.961	32.55	1.69e-06	25.799999999999997
inclusion	N	alternative_acceptor	TMSB10	chr2:84905719-84905825	+	0.03	0.03	0.03	0.03	0.008	0.008	0.008	32.54	1.69e-06	-2.2
inclusion	K	intron_retention	RPL10	chrX:154399942-154400701	+	0.253	0.253	0.253	0.253	0.063	0.063	0.063	32.5	1.69e-06	-19.0
inclusion	N	cassette	IRX4	chr5:1880066-1880143	-	0.615	0.615	0.615	0.615	0.309	0.309	0.309	32.51	1.69e-06	-30.6
inclusion	N	alternative_last_exon	ARRB2	chr17:4710745-4715972	+	0.383	0.383	0.383	0.383	0.698	0.698	0.698	32.48	1.7e-06	31.5
inclusion	N	alternative_acceptor	BCL9	chr1:147622532-147623841	+	0.867	0.867	0.867	0.867	0.45	0.45	0.45	32.19	1.96e-06	-41.7
inclusion	K	alternative_donor	PKM	chr15:72200656-72202453	-	0.811	0.811	0.811	0.811	0.672	0.672	0.672	32.15	1.98e-06	-13.900000000000006
inclusion	N	cassette	TRAPPC6A	chr19:45165127-45165194	-	0.64	0.64	0.64	0.64	0.416	0.416	0.416	31.6	2.61e-06	-22.4
inclusion	K	intron_retention	YPEL3	chr16:30095336-30096096	-	0.886	0.886	0.886	0.886	0.509	0.509	0.509	31.53	2.68e-06	-37.699999999999996
inclusion	N	alternative_acceptor	FKBP1B	chr2:24060927-24063063	+	0.548	0.548	0.548	0.548	0.295	0.295	0.295	31.13	3.27e-06	-25.300000000000004
inclusion	N	alternative_acceptor	MFSD2B	chr2:24060927-24063018	+	0.452	0.452	0.452	0.452	0.705	0.705	0.705	31.11	3.29e-06	25.299999999999997
inclusion	K	alternative_last_exon	TTC17	chr11:43444210-43445930	+	0.454	0.454	0.454	0.454	0.215	0.215	0.215	30.74	3.95e-06	-23.9
inclusion	K	intron_retention	STUB1	chr16:680685-681208	+	0.932	0.932	0.932	0.932	0.74	0.74	0.74	30.66	4.09e-06	-19.200000000000003
inclusion	N	alternative_acceptor	DCAF11	chr14:24115393-24115514	+	0.268	0.268	0.268	0.268	0.11	0.11	0.11	30.62	4.15e-06	-15.8
inclusion	K	intron_retention	TTI2	chr8:33499278-33500327	-	0.408	0.408	0.408	0.408	0.149	0.149	0.149	30.53	4.32e-06	-25.9
inclusion	K	intron_retention	ALS2CL	chr3:46674740-46675617	.	0.31	0.31	0.31	0.31	0.105	0.105	0.105	30.47	4.42e-06	-20.5
inclusion	K	alternative_acceptor	BRD1	chr22:49787888-49794033	-	0.208	0.208	0.208	0.208	0.541	0.541	0.541	30.43	4.47e-06	33.3
inclusion	N	cassette	UCKL1	chr20:63943653-63943669	-	0.932	0.932	0.932	0.932	0.79	0.79	0.79	30.34	4.65e-06	-14.200000000000003
inclusion	K	cassette	TMX2	chr11:57737913-57738026	+	0.827	0.827	0.827	0.827	0.955	0.955	0.955	30.29	4.75e-06	12.800000000000011
inclusion	K	cassette	MCM3	chr6:52265235-52265385	-	0.352	0.352	0.352	0.352	0.139	0.139	0.139	30.28	4.75e-06	-21.299999999999994
inclusion	K	cassette	ZNF185	chrX:152922720-152922809	+	0.526	0.526	0.526	0.526	0.737	0.737	0.737	30.24	4.81e-06	21.1
inclusion	K	alternative_last_exon	LHPP	chr10:124498129-124517179	+	0.671	0.671	0.671	0.671	0.905	0.905	0.905	30.22	4.83e-06	23.39999999999999
inclusion	K	cassette	FLNB	chr3:58141858-58141929	+	0.862	0.862	0.862	0.862	0.583	0.583	0.583	30.13	5e-06	-27.900000000000006
inclusion	K	cassette	REPS1	chr6:138926401-138926481	-	0.534	0.534	0.534	0.534	0.777	0.777	0.777	30.13	5e-06	24.299999999999997
inclusion	K	alternative_acceptor	SERBP1	chr1:67424323-67424887	-	0.15	0.15	0.15	0.15	0.053	0.053	0.053	30.05	5.17e-06	-9.7
inclusion	K	cassette	OSBPL6	chr2:178372126-178372233	+	0.294	0.294	0.294	0.294	0.738	0.738	0.738	29.93	5.48e-06	44.4
inclusion	K	alternative_last_exon	VPS26C	chr21:37233443-37238459	-	0.788	0.788	0.788	0.788	0.546	0.546	0.546	29.72	6.04e-06	-24.199999999999996
inclusion	K	alternative_acceptor	TMED7-TICAM2	chr5:115581316-115616317	-	0.607	0.607	0.607	0.607	0.33	0.33	0.33	29.58	6.45e-06	-27.699999999999996
inclusion	K	cassette	LRIF1	chr1:110951288-110952815	-	0.264	0.264	0.264	0.264	0.672	0.672	0.672	29.56	6.49e-06	40.8
inclusion	N	intron_retention	CTNNB1	chr3:41239354-41239811	.	0.87	0.87	0.87	0.87	0.98	0.98	0.98	29.5	6.66e-06	11.0
inclusion	N	cassette	ESYT2	chr7:158752781-158752843	-	0.152	0.152	0.152	0.152	0.385	0.385	0.385	29.43	6.86e-06	23.3
inclusion	N	cassette	PAK1	chr11:77397027-77397093	-	0.008	0.008	0.008	0.008	0.128	0.128	0.128	29.41	6.9e-06	12.0
inclusion	K	alternative_first_exon	SYNPO	chr5:150640855-150647943	+	0.142	0.142	0.142	0.142	0.411	0.411	0.411	29.17	7.71e-06	26.899999999999995
inclusion	K	intron_retention	MSL1	chr17:40129628-40131536	+	0.32	0.32	0.32	0.32	0.594	0.594	0.594	29.18	7.71e-06	27.4
inclusion	N	alternative_last_exon	MYO19	chr17:36498555-36499074,chr17:36498560-36499074	-	0.878	0.878	0.878	0.878	0.991	0.991	0.991	29.15	7.73e-06	11.299999999999997
inclusion	K	cassette	PPP1R12A	chr12:79806166-79806333	-	0.743	0.743	0.743	0.743	0.335	0.335	0.335	29.13	7.75e-06	-40.8
inclusion	N	cassette	IL17RC	chr3:9918335-9918409	+	0.985	0.985	0.985	0.985	0.84	0.84	0.84	29.08	7.91e-06	-14.5
inclusion	N	alternative_acceptor	CIRBP	chr19:1269411-1270927	+	0.899	0.899	0.899	0.899	0.981	0.981	0.981	29.06	7.93e-06	8.199999999999989
inclusion	K	cassette	HNRNPD	chr4:82354895-82355001	-	0.234	0.234	0.234	0.234	0.073	0.073	0.073	29.04	7.96e-06	-16.1
inclusion	K	cassette	FOCAD	chr9:20819796-20819900	+	0.878	0.878	0.878	0.878	0.567	0.567	0.567	29	8.04e-06	-31.1
