site	cond1	cond2	mod_cond1	mod_cond2	unmod_cond1	unmod_cond2	odds_ratio	pvalue	chrom	genome_pos	transcript_id	gene_ids	gene_name	mod_ratio_cond1	mod_ratio_cond2	delta_modratio	delta_prob
chr12:110445467	wtdmso	mtdmso	2	9	13	9	0.1538461538461538	0.0341768631813125	chr12	110445467	ENST00000228825.12,flairiso34281-1	ENSG00000111229.16	ARPC3	0.13333333333333333	0.5	0.3666666666666667	0.2017402557463997
chr12:49759297	wtdmso	mtdmso	3	15	50	57	0.228	0.0200869817266203	chr12	49759297	ENST00000267115.10,flairiso33535-1,flairiso44723-1	ENSG00000139644.13	TMBIM6	0.05660377358490566	0.20833333333333334	0.15172955974842767	0.1896885884251317
chr12:54284711	wtdmso	mtdmso	29	86	48	56	0.3934108527131782	0.0017397601959739	chr12	54284711	ENST00000340913.10,ENST00000546500.5,flairiso33779-1,flairiso33783-1,flairiso33787-1	ENSG00000135486.17	HNRNPA1	0.37662337662337664	0.6056338028169014	0.22901042619352474	0.1465346034936963
chr12:56159995	wtdmso	mtdmso	6	3	15	53	7.066666666666666	0.0105066436803134	chr12	56159995	ENST00000547649.5,ENST00000550697.5,flairiso33901-1	ENSG00000092841.18	MYL6	0.2857142857142857	0.05357142857142857	-0.23214285714285712	-0.1006504181167885
chr12:6390777	wtdmso	mtdmso	5	9	28	10	0.1984126984126984	0.0213987064725979	chr12	6390777	ENST00000228918.9,flairiso33206-1	ENSG00000111321.11	LTBR	0.15151515151515152	0.47368421052631576	0.3221690590111642	-0.1278793678764883
chr12:89348885	wtdmso	mtdmso	4	6	17	4	0.1568627450980392	0.0401068809155088	chr12	89348885	ENST00000279488.8	ENSG00000139318.8	DUSP6	0.19047619047619047	0.6	0.4095238095238095	-0.4626204336822823
chr13:27623311	wtdmso	mtdmso	11	4	40	51	3.50625	0.0499882954762835	chr13	27623311	ENST00000302979.4,ENST00000399696.3	ENSG00000186184.18	POLR1D	0.21568627450980393	0.07272727272727272	-0.1429590017825312	-0.1342815873538937
chr14:104770054	wtdmso	mtdmso	7	3	3	11	8.555555555555555	0.0351494144568582	chr14	104770054	ENST00000407796.6	ENSG00000142208.16	AKT1	0.7	0.21428571428571427	-0.48571428571428565	-0.1519343904250216
chr14:49618877	wtdmso	mtdmso	1	7	32	22	0.0982142857142857	0.0206092901678498	chr14	49618877	ENST00000298289.7,flairiso35321-1	ENSG00000165502.7	RPL36AL	0.030303030303030304	0.2413793103448276	0.2110762800417973	0.1580965087628903
chr15:100915959	wtdmso	mtdmso	4	1	9	33	14.666666666666666	0.0166871042459967	chr15	100915959	ENST00000329841.10	ENSG00000184254.17	ALDH1A3	0.3076923076923077	0.029411764705882353	-0.27828054298642535	-0.2368953627129506
chr15:79322442	wtdmso	mtdmso	7	2	10	24	8.4	0.0179129739388867	chr15	79322442	ENST00000299705.10	ENSG00000166557.13	TMED3	0.4117647058823529	0.07692307692307693	-0.334841628959276	-0.1584957463801213
chr15:79322689	wtdmso	mtdmso	7	2	7	22	11.0	0.0062652335747312	chr15	79322689	ENST00000299705.10	ENSG00000166557.13	TMED3	0.5	0.08333333333333333	-0.4166666666666667	-0.1768006246282474
chr16:11548403	wtdmso	mtdmso	8	2	3	8	10.666666666666666	0.0299731228523798	chr16	11548403	ENST00000571688.5,ENST00000622633.4	ENSG00000189067.12	LITAF	0.7272727272727273	0.2	-0.5272727272727273	-0.2756338923396038
chr16:58722191	wtdmso	mtdmso	2	17	21	31	0.1736694677871148	0.0216750849360369	chr16	58722191	ENST00000245206.10	ENSG00000125166.13	GOT2	0.08695652173913043	0.3541666666666667	0.26721014492753625	0.3923345586430922
chr16:70252724	wtdmso	mtdmso	4	10	28	12	0.1714285714285714	0.0108471238002098	chr16	70252724	ENST00000261772.12	ENSG00000090861.15	AARS1	0.125	0.45454545454545453	0.32954545454545453	-0.2701963460428671
chr16:87831267	wtdmso	mtdmso	39	51	61	30	0.3760848601735776	0.0016785517468338	chr16	87831267	ENST00000261622.5,flairiso44914-1	ENSG00000103257.9	SLC7A5	0.39	0.6296296296296297	0.23962962962962964	0.1428135068734577
chr17:40019372	wtdmso	mtdmso	5	12	34	22	0.2696078431372549	0.0289622616918671	chr17	40019372	flairiso38180-1,flairiso44961-1,flairiso44962-1	ENSG00000008838.20	MED24	0.1282051282051282	0.35294117647058826	0.22473604826546006	-0.3586757611891915
chr17:41624240	wtdmso	mtdmso	26	15	97	122	2.180068728522337	0.0273409690323635	chr17	41624240	ENST00000311208.13,flairiso44974-1,flairiso44976-1	ENSG00000128422.17	KRT17	0.21138211382113822	0.10948905109489052	-0.10189306272624771	-0.2301854201462397
chr17:44320205	wtdmso	mtdmso	3	1	8	37	13.875	0.0311502954558326	chr17	44320205	ENST00000225308.12,ENST00000590194.5	ENSG00000013306.16	SLC25A39	0.2727272727272727	0.02631578947368421	-0.2464114832535885	-0.1443179393732265
chr17:81894541	wtdmso	mtdmso	9	2	6	11	8.25	0.0237604881769641	chr17	81894541	ENST00000344877.9,ENST00000571024.6,ENST00000574924.6	ENSG00000141552.17	ANAPC11	0.6	0.15384615384615385	-0.4461538461538461	-0.3857398969891809
chr17:82237443	wtdmso	mtdmso	13	19	48	28	0.3991228070175439	0.0357780895044419	chr17	82237443	ENST00000392341.5,ENST00000582743.5	ENSG00000141526.16	SLC16A3	0.21311475409836064	0.40425531914893614	0.1911405650505755	0.1418539338002154
chr17:82237695	wtdmso	mtdmso	5	12	54	36	0.2777777777777778	0.0316607941235136	chr17	82237695	ENST00000392341.5,ENST00000582743.5	ENSG00000141526.16	SLC16A3	0.0847457627118644	0.25	0.1652542372881356	0.3064046010148656
chr17:82239263	wtdmso	mtdmso	20	27	50	25	0.3703703703703703	0.0140504790123927	chr17	82239263	ENST00000392341.5,ENST00000582743.5,flairiso38946-1,flairiso38948-1	ENSG00000141526.16	SLC16A3	0.2857142857142857	0.5192307692307693	0.23351648351648358	0.2253044686174117
chr18:3255913	wtdmso	mtdmso	2	5	37	16	0.1729729729729729	0.0448236012964242	chr18	3255913	ENST00000217652.7	ENSG00000101608.12	MYL12A	0.05128205128205128	0.23809523809523808	0.18681318681318682	-0.1740053229100202
chr18:3255913	wtdmso	mtdmso	2	5	37	16	0.1729729729729729	0.0448236012964242	chr18	3255913	ENST00000217652.7	ENSG00000264235.6	AP005329.1	0.05128205128205128	0.23809523809523808	0.18681318681318682	-0.1740053229100202
chr19:1106552	wtdmso	mtdmso	3	13	54	49	0.2094017094017094	0.0150031810985377	chr19	1106552	ENST00000354171.13,ENST00000616066.4,flairiso39333-1	ENSG00000167468.17	GPX4	0.05263157894736842	0.20967741935483872	0.1570458404074703	0.2758698709937874
chr19:18307337	wtdmso	mtdmso	13	3	29	28	4.183908045977011	0.0441872884746451	chr19	18307337	ENST00000593829.5,flairiso39904-1,flairiso39905-1	ENSG00000130520.10	LSM4	0.30952380952380953	0.0967741935483871	-0.21274961597542244	0.1163040203901494
chr19:3976519	wtdmso	mtdmso	153	289	342	384	0.5944272445820433	3.220211183799114e-05	chr19	3976519	ENST00000309311.7,flairiso45036-1,flairiso45037-1,flairiso45038-1,flairiso45039-1,flairiso45040-1,flairiso45041-1,flairiso45042-1,flairiso45043-1	ENSG00000167658.16	EEF2	0.3090909090909091	0.4294205052005943	0.12032959610968524	0.136654798064797
chr19:46610619	wtdmso	mtdmso	6	1	20	39	11.7	0.0126696633174687	chr19	46610619	ENST00000291295.14,flairiso45095-1	ENSG00000160014.17	CALM3	0.23076923076923078	0.025	-0.2057692307692308	-0.101083942430306
chr19:46838300	wtdmso	mtdmso	14	5	61	106	4.865573770491803	0.0025432512315718	chr19	46838300	ENST00000263270.10,ENST00000352203.8,ENST00000597020.5,ENST00000601498.5,flairiso40510-1,flairiso40515-1	ENSG00000042753.11	AP2S1	0.18666666666666668	0.04504504504504504	-0.14162162162162162	-0.1311655995030523
chr19:48383112	wtdmso	mtdmso	16	21	88	53	0.4588744588744589	0.0405282678304791	chr19	48383112	ENST00000330720.7,ENST00000597017.5,flairiso40565-1,flairiso40566-1,flairiso40568-1,flairiso40569-1	ENSG00000105438.9	KDELR1	0.15384615384615385	0.28378378378378377	0.12993762993762992	0.2683260002811626
chr19:572614	wtdmso	mtdmso	8	1	57	57	8.0	0.0349523761764956	chr19	572614	ENST00000353555.8	ENSG00000172270.20	BSG	0.12307692307692308	0.017241379310344827	-0.10583554376657825	-0.1595548459704582
chr1:1217109	wtdmso	mtdmso	9	2	6	12	9.0	0.0209395302348825	chr1	1217109	ENST00000360001.11	ENSG00000078808.17	SDF4	0.6	0.14285714285714285	-0.45714285714285713	-0.4384075847142066
chr1:183243777	wtdmso	mtdmso	23	25	204	81	0.3652941176470588	0.0022365760848028	chr1	183243777	ENST00000264144.5,flairiso21389-1,flairiso21392-1,flairiso21393-1,flairiso44246-1	ENSG00000058085.15	LAMC2	0.1013215859030837	0.2358490566037736	0.13452747070068988	0.2805751582754446
chr1:183243992	wtdmso	mtdmso	30	28	217	84	0.4147465437788018	0.0031291689488711	chr1	183243992	ENST00000264144.5,flairiso21389-1,flairiso21392-1,flairiso21393-1,flairiso44246-1	ENSG00000058085.15	LAMC2	0.1214574898785425	0.25	0.1285425101214575	0.1548599970902325
chr1:201332698	wtdmso	mtdmso	1	8	26	21	0.1009615384615384	0.0257355772497678	chr1	201332698	ENST00000367324.7	ENSG00000081277.12	PKP1	0.037037037037037035	0.27586206896551724	0.2388250319284802	0.359012379944938
chr1:26863843	wtdmso	mtdmso	10	19	57	43	0.397045244690674	0.0369003107223077	chr1	26863843	flairiso19417-1,flairiso19418-1,flairiso19421-1,flairiso19423-1			0.14925373134328357	0.3064516129032258	0.15719788155994224	0.3584557004511312
chr1:31425859	wtdmso	mtdmso	5	20	67	79	0.2947761194029851	0.0163736596869868	chr1	31425859	ENST00000373709.8,ENST00000536384.2,flairiso19504-1,flairiso19511-1	ENSG00000168528.12	SERINC2	0.06944444444444445	0.20202020202020202	0.13257575757575757	0.1363543993538359
chr1:34785728	wtdmso	mtdmso	2	8	11	3	0.0681818181818181	0.011088302597927	chr1	34785728	ENST00000373366.3	ENSG00000188910.8	GJB3	0.15384615384615385	0.7272727272727273	0.5734265734265734	-0.2304832823647645
chr1:37809134	wtdmso	mtdmso	6	1	12	22	11.0	0.031311933044924	chr1	37809134	ENST00000373042.5,ENST00000468084.1	ENSG00000197982.14	C1orf122	0.3333333333333333	0.043478260869565216	-0.28985507246376807	-0.1057259008236056
chr1:42927703	wtdmso	mtdmso	8	16	52	35	0.3365384615384615	0.0359481285550094	chr1	42927703	ENST00000426263.9,flairiso19733-1	ENSG00000117394.23	SLC2A1	0.13333333333333333	0.3137254901960784	0.1803921568627451	0.2851588504728556
chr1:68391605	wtdmso	mtdmso	5	7	48	16	0.238095238095238	0.0365763453557421	chr1	68391605	flairiso20065-1			0.09433962264150944	0.30434782608695654	0.2100082034454471	-0.1960436701941661
chr20:31606308	wtdmso	mtdmso	55	20	66	48	2.0	0.0316941550984262	chr20	31606308	ENST00000376112.4,flairiso41286-1	ENSG00000125968.9	ID1	0.45454545454545453	0.29411764705882354	-0.160427807486631	-0.2268624873128706
chr20:35542873	wtdmso	mtdmso	3	19	28	21	0.1184210526315789	0.0006858970289373	chr20	35542873	ENST00000348547.6	ENSG00000125991.19	ERGIC3	0.0967741935483871	0.475	0.37822580645161286	0.1389067419460223
chr20:396240	wtdmso	mtdmso	3	4	74	15	0.152027027027027	0.0268216559583573	chr20	396240	ENST00000217233.8,ENST00000449710.5-0,flairiso41021-1	ENSG00000101255.11	TRIB3	0.03896103896103896	0.21052631578947367	0.1715652768284347	-0.1273596249732373
chr20:62137396	wtdmso	mtdmso	2	11	47	48	0.1856866537717601	0.0345138544479721	chr20	62137396	ENST00000370873.9,flairiso41660-1,flairiso41662-1	ENSG00000101182.15	PSMA7	0.04081632653061224	0.1864406779661017	0.14562435143548946	0.2764050722594631
chr22:19176895	wtdmso	mtdmso	10	6	4	23	9.583333333333334	0.0022203555546114	chr22	19176895	ENST00000215882.10	ENSG00000100075.10	SLC25A1	0.7142857142857143	0.20689655172413793	-0.5073891625615764	0.1790359199106668
chr22:28795256	wtdmso	mtdmso	1	8	28	18	0.0803571428571428	0.0091918581965102	chr22	28795256	ENST00000216037.10,ENST00000611155.4	ENSG00000100219.16	XBP1	0.034482758620689655	0.3076923076923077	0.27320954907161804	0.2143009248820667
chr22:37225508	wtdmso	mtdmso	1	9	62	63	0.1129032258064516	0.0196291555753111	chr22	37225508	ENST00000249071.11,flairiso42258-1,flairiso42266-1	ENSG00000128340.15	RAC2	0.015873015873015872	0.125	0.10912698412698413	0.1834499964600197
chr2:219539482	wtdmso	mtdmso	2	15	11	3	0.0363636363636363	0.0002591234094328	chr2	219539482	ENST00000243776.11	ENSG00000123989.14	CHPF	0.15384615384615385	0.8333333333333334	0.6794871794871795	0.177546612267179
chr2:42353279	wtdmso	mtdmso	1	6	43	22	0.0852713178294573	0.0120565358790142	chr2	42353279	ENST00000234301.3,flairiso22122-1	ENSG00000115944.15	COX7A2L	0.022727272727272728	0.21428571428571427	0.19155844155844154	0.3680603431746719
chr2:47160403	wtdmso	mtdmso	10	1	32	24	7.5	0.0430981583156235	chr2	47160403	ENST00000654798.1,flairiso22152-1	ENSG00000143933.18	CALM2	0.23809523809523808	0.04	-0.19809523809523807	-0.241667531144874
chr3:150544344	wtdmso	mtdmso	1	6	39	13	0.0555555555555555	0.0033289457547587	chr3	150544344	ENST00000239944.7	ENSG00000120742.11	SERP1	0.025	0.3157894736842105	0.2907894736842105	-0.1648800854053972
chr3:49029299	wtdmso	mtdmso	1	6	23	13	0.0942028985507246	0.0325116774351034	chr3	49029299	ENST00000326739.9	ENSG00000178035.12	IMPDH2	0.041666666666666664	0.3157894736842105	0.2741228070175438	-0.1825932967718205
chr3:52049345	wtdmso	mtdmso	10	2	3	8	13.333333333333334	0.0122781377997423	chr3	52049345	ENST00000495880.2	ENSG00000164086.10	DUSP7	0.7692307692307693	0.2	-0.5692307692307692	-0.4812839120904292
chr3:57575549	wtdmso	mtdmso	2	9	8	5	0.1388888888888889	0.0471799703863238	chr3	57575549	ENST00000303436.11,ENST00000496292.5-0	ENSG00000168374.11	ARF4	0.2	0.6428571428571429	0.4428571428571429	-0.1983782547927345
chr4:15936366	wtdmso	mtdmso	3	10	7	3	0.1285714285714285	0.0396804030536699	chr4	15936366	flairiso44372-1	ENSG00000137440.5	FGFBP1	0.3	0.7692307692307693	0.4692307692307693	-0.3224569058081856
chr5:133972347	wtdmso	mtdmso	9	1	49	40	7.346938775510204	0.0428880958129723	chr5	133972347	ENST00000265333.8,ENST00000395044.7,ENST00000395047.6,flairiso25901-1,flairiso25903-1	ENSG00000213585.11	VDAC1	0.15517241379310345	0.024390243902439025	-0.13078216989066443	-0.2928158106404802
chr5:134197175	wtdmso	mtdmso	7	9	15	3	0.1555555555555555	0.0299430929696442	chr5	134197175	ENST00000481195.6	ENSG00000113575.10	PPP2CA	0.3181818181818182	0.75	0.4318181818181818	-0.573871073584425
chr5:134197175	wtdmso	mtdmso	7	9	15	3	0.1555555555555555	0.0299430929696442	chr5	134197175	ENST00000481195.6	ENSG00000272772.1	AC104109.3	0.3181818181818182	0.75	0.4318181818181818	-0.573871073584425
chr5:138469148	wtdmso	mtdmso	4	8	29	11	0.1896551724137931	0.01939615665492	chr5	138469148	ENST00000239938.5	ENSG00000120738.8	EGR1	0.12121212121212122	0.42105263157894735	0.29984051036682613	-0.3645854341530145
chr5:171390057	wtdmso	mtdmso	9	22	85	73	0.3513368983957219	0.0174390681249509	chr5	171390057	ENST00000296930.9,ENST00000351986.10,ENST00000393820.2,flairiso26233-1,flairiso26237-1,flairiso26252-1,flairiso26254-1,flairiso26257-1	ENSG00000181163.13	NPM1	0.09574468085106383	0.23157894736842105	0.13583426651735722	0.3206471508558992
chr5:173034752	wtdmso	mtdmso	10	23	45	24	0.2318840579710145	0.0013393070517971	chr5	173034752	ENST00000265093.4,ENST00000519374.6,flairiso26285-1	ENSG00000113732.9	ATP6V0E1	0.18181818181818182	0.48936170212765956	0.30754352030947774	0.3623373645474355
chr5:179730761	wtdmso	mtdmso	3	4	46	10	0.1630434782608695	0.0378609532331418	chr5	179730761	ENST00000247461.9,ENST00000452673.6,flairiso26414-1,flairiso26415-1	ENSG00000127022.15	CANX	0.061224489795918366	0.2857142857142857	0.22448979591836732	-0.2523227090165752
chr5:179797632	wtdmso	mtdmso	28	9	36	44	3.802469135802469	0.0025691686929078	chr5	179797632	ENST00000292591.12,ENST00000337755.9,flairiso44426-1	ENSG00000161013.17	MGAT4B	0.4375	0.16981132075471697	-0.26768867924528306	-0.1051629829706926
chr7:100678775	wtdmso	mtdmso	14	28	86	75	0.436046511627907	0.024347755107568	chr7	100678775	ENST00000303210.9,ENST00000393924.1,flairiso44501-1	ENSG00000172354.10	GNB2	0.14	0.27184466019417475	0.13184466019417473	0.2178401206389544
chr7:127591515	wtdmso	mtdmso	2	9	43	33	0.1705426356589147	0.023426560290683	chr7	127591515	ENST00000000233.10,flairiso28511-1,flairiso28512-1	ENSG00000004059.11	ARF5	0.044444444444444446	0.21428571428571427	0.16984126984126982	0.1649417746011721
chr7:128865581	wtdmso	mtdmso	7	14	22	12	0.2727272727272727	0.029452804306714	chr7	128865581	ENST00000249289.5	ENSG00000128524.5	ATP6V1F	0.2413793103448276	0.5384615384615384	0.2970822281167108	0.2229592475823722
chr7:134442625	wtdmso	mtdmso	8	2	11	18	6.545454545454546	0.0309503051438535	chr7	134442625	ENST00000285930.9,flairiso28552-1	ENSG00000085662.14	AKR1B1	0.42105263157894735	0.1	-0.32105263157894737	-0.405669558791252
chr7:143388489	wtdmso	mtdmso	9	4	32	76	5.34375	0.0099050101380528	chr7	143388489	ENST00000322764.10,flairiso28626-1,flairiso28627-1,flairiso28628-1	ENSG00000159840.16	ZYX	0.21951219512195122	0.05	-0.1695121951219512	-0.1253368422310152
chr7:2380598	wtdmso	mtdmso	1	8	9	6	0.0833333333333333	0.0333398597633353	chr7	2380598	ENST00000360876.9,ENST00000397011.2	ENSG00000106263.18	EIF3B	0.1	0.5714285714285714	0.4714285714285714	0.2420035963981852
chr7:30628629	wtdmso	mtdmso	23	4	14	16	6.571428571428571	0.0047966959866409	chr7	30628629	ENST00000389266.8,flairiso27826-1,flairiso27828-1	ENSG00000106105.14	GARS1	0.6216216216216216	0.2	-0.4216216216216216	-0.7728356985857718
chr7:6403631	wtdmso	mtdmso	4	6	25	6	0.16	0.040208136475976	chr7	6403631	ENST00000348035.9,ENST00000356142.4-0,flairiso27690-1	ENSG00000136238.18	RAC1	0.13793103448275862	0.5	0.3620689655172414	-0.3371058984838952
chr8:100702979	wtdmso	mtdmso	22	47	190	172	0.4237402015677491	0.0023396787774644	chr8	100702979	ENST00000318607.10,flairiso29179-1,flairiso29180-1,flairiso29181-1,flairiso29183-1,flairiso29184-1,flairiso29185-1,flairiso29186-1	ENSG00000070756.16	PABPC1	0.10377358490566038	0.2146118721461187	0.11083828724045833	0.1153010842919527
chr8:11830323	wtdmso	mtdmso	15	15	9	27	3.0	0.0432913938461188	chr8	11830323	ENST00000220584.9,flairiso28715-1	ENSG00000079459.13	FDFT1	0.625	0.35714285714285715	-0.26785714285714285	-0.1265230246576144
chr9:125236544	wtdmso	mtdmso	42	44	84	49	0.5568181818181818	0.0497309810513949	chr9	125236544	ENST00000324460.7,flairiso30231-1,flairiso44563-1	ENSG00000044574.8	HSPA5	0.3333333333333333	0.4731182795698925	0.13978494623655918	0.1802842078512793
chr9:137242600	wtdmso	mtdmso	2	8	10	5	0.125	0.0414053035401803	chr9	137242600	ENST00000340384.5	ENSG00000188229.6	TUBB4B	0.16666666666666666	0.6153846153846154	0.4487179487179488	0.1135288125701154
chrX:1386347	wtdmso	mtdmso	48	21	165	155	2.1471861471861478	0.0074663567546084	chrX	1386347	ENST00000381401.11,flairiso42528-1,flairiso42531-1,flairiso42532-1,flairiso42533-1,flairiso42534-1,flairiso42536-1,flairiso42537-1,flairiso42538-1,flairiso42539-1	ENSG00000169100.14	SLC25A6	0.22535211267605634	0.11931818181818182	-0.10603393085787452	-0.1155404729201684
